,NrArticolo,budgetConsuntivo,NrOrdineProduzione,Descrizione,NrAreaProduzione,Risorsa,TempoRisorsa,QuantitydiOutput
5142,ART0002042,CONSUNTIVO,ODP19-01037,Controllo qualità,CQ,RIS16,0.0,6.0
5143,ART0002133,CONSUNTIVO,ODP19-01037,Controllo qualità,CQ,RIS16,0.0,6.0
5144,ART0001170,CONSUNTIVO,ODP19-00647,Controllo qualità,CQ,RIS16,0.0,1.0
5145,ART0002195,CONSUNTIVO,ODP19-01120,Controllo qualità,CQ,RIS16,0.0,3.0
5146,ART0003132,CONSUNTIVO,ODP19-01428,Fresatura,A30,RIS5,1.0,0.0
5147,ART0003132,CONSUNTIVO,ODP19-01428,Fresatura,A30,RIS5,1.0,10.0
5148,ART0005110,CONSUNTIVO,ODP19-01118,Controllo qualità,CQ,RIS16,0.0,2.0
5149,ART0000850,CONSUNTIVO,ODP19-01583,Montaggio,A40,RIS13,0.5,5.0
5150,ART0000850,CONSUNTIVO,ODP19-01583,Controllo qualità,CQ,RIS16,0.0,5.0
5151,ART0001174,CONSUNTIVO,ODP19-00647,Tornitura,A20,RIS2,1.0,1.0
