,NrArticolo,budgetConsuntivo,NrOrdineProduzione,Descrizione,NrAreaProduzione,Risorsa,TempoRisorsa,QuantitydiOutput
4938,ART0005036,CONSUNTIVO,ODP18-08874,Controllo qualità,CQ,RIS16,0.0,13.0
4939,ART0002249,CONSUNTIVO,ODP18-08806,Tornitura,A20,RIS2,0.5,0.0
4940,ART0002554,CONSUNTIVO,ODP18-08816,Fresatura,A30,RIS5,1.0,3.0
4941,ART0001799,CONSUNTIVO,ODP19-00104,Fresatura,A30,RIS11,8.0,0.0
4942,ART0002249,CONSUNTIVO,ODP18-08806,Tornitura,A20,RIS2,2.5,6.0
4943,ART0004392,CONSUNTIVO,ODP18-08815,Tornitura,A20,RIS2,0.5,0.0
4944,ART0005136,CONSUNTIVO,ODP19-00254,Piegatura,A12,RIS3,0.25,2.0
4945,ART0005136,CONSUNTIVO,ODP19-00254,Piegatura,A12,RIS3,0.33,3.0
4946,ART0002249,CONSUNTIVO,ODP18-08806,Fresatura,A30,RIS5,0.75,5.0
4947,ART0005136,CONSUNTIVO,ODP19-00253,Fresatura,A30,RIS5,1.0,8.0
4948,ART0005136,CONSUNTIVO,ODP19-00253,Controllo qualità,CQ,RIS16,0.0,8.0
4949,ART0005136,CONSUNTIVO,ODP19-00254,Controllo qualità,CQ,RIS16,0.0,3.0
4950,ART0005136,CONSUNTIVO,ODP19-00254,Controllo qualità,CQ,RIS16,0.0,2.0
4951,ART0004392,CONSUNTIVO,ODP18-08815,Tornitura,A20,RIS2,1.25,35.0
4952,ART0003612,CONSUNTIVO,ODP18-08968,Tornitura,A20,RIS2,2.5,8.0
4953,ART0001799,CONSUNTIVO,ODP19-00104,Fresatura,A30,RIS11,2.0,33.0
4954,ART0004392,CONSUNTIVO,ODP18-08815,Fresatura,A30,RIS12,1.0,0.0
4955,ART0001799,CONSUNTIVO,ODP19-00104,Tornitura,A20,RIS11,2.0,0.0
4956,ART0001770,CONSUNTIVO,ODP18-08749,Fresatura,A30,RIS5,5.5,0.0
4957,ART0001770,CONSUNTIVO,ODP18-08749,Fresatura,A30,RIS5,0.75,23.0
4958,ART0004392,CONSUNTIVO,ODP18-08815,Fresatura,A30,RIS12,2.0,35.0
4959,ART0004392,CONSUNTIVO,ODP18-08815,Controllo qualità,CQ,RIS16,0.0,35.0
4960,ART0003612,CONSUNTIVO,ODP18-08968,Controllo qualità,CQ,RIS16,0.0,8.0
4961,ART0001770,CONSUNTIVO,ODP18-08749,Controllo qualità,CQ,RIS16,0.0,23.0
4962,ART0002423,CONSUNTIVO,ODP18-08749,Controllo qualità,CQ,RIS16,0.0,10.0
4963,ART0001840,CONSUNTIVO,ODP18-08800,Controllo qualità,CQ,RIS16,0.0,1.0
4964,ART0001799,CONSUNTIVO,ODP19-00104,Tornitura,A20,RIS11,6.0,33.0
4965,ART0005136,CONSUNTIVO,ODP19-00127,Tornitura,A20,RIS11,2.0,0.0
4966,ART0001877,CONSUNTIVO,ODP18-09297,Controllo qualità,CQ,RIS16,0.0,10.0
4967,ART0001228,CONSUNTIVO,ODP19-00251,Tornitura,A20,RIS13,0.08,1.0
4968,ART0001228,CONSUNTIVO,ODP19-00251,Saldatura,A11,RIS3,0.5,1.0
4969,ART0001238,CONSUNTIVO,ODP19-00251,Tornitura,A20,RIS2,0.75,1.0
4970,ART0005136,CONSUNTIVO,ODP19-00127,Tornitura,A20,RIS11,3.5,19.0
4971,ART0005136,CONSUNTIVO,ODP19-00467,Tornitura,A20,RIS2,0.25,1.0
4972,ART0005136,CONSUNTIVO,ODP19-00467,Controllo qualità,CQ,RIS16,0.0,1.0
4973,ART0001765,CONSUNTIVO,ODP18-09297,Fresatura,A30,RIS5,3.25,12.0
4974,ART0001765,CONSUNTIVO,ODP18-09297,Controllo qualità,CQ,RIS16,0.0,12.0
4975,ART0004420,CONSUNTIVO,ODP19-00474,Tornitura,A20,RIS2,1.5,6.0
