,NrArticolo,NrOrdineProduzione,NrMovimentoMP,CodiceMP,QuantityMPImpiegata,ImportoCostoTotaleMP,QuantitydiOutput
83,ART0004146,ODP16-13864,22681,ART0004152,31.0,366.68,31.0
84,ART0004146,ODP16-13864,22682,ART0004153,31.0,333.01,31.0
85,ART0004146,ODP16-13864,22683,ART0005259,31.0,62.0,31.0
86,ART0004146,ODP16-13864,22684,ART0004155,31.0,41.85,31.0
87,ART0004146,ODP16-13864,22685,ART0004156,31.0,128.69,31.0
88,ART0004146,ODP16-13864,22686,ART0004154,31.0,0.7,31.0
89,ART0005136,ODP17-10736,33540,ART0001080,620.0,1.21,31.0
90,ART0005136,ODP17-10736,33541,ART0005216,2.0,0.0,31.0
91,ART0000630,ODP16-16561,22829,ART0005286,2460.0,70.85,30.0
92,ART0000748,ODP17-10871,34074,ART0001868,50.0,1308.66,30.0
93,ART0000748,ODP17-10871,34075,ART0001756,50.0,1212.5,30.0
94,ART0000748,ODP17-10871,34076,ART0005432,50.0,175.0,30.0
95,ART0000748,ODP17-10871,34077,ART0005433,50.0,50.0,30.0
96,ART0000748,ODP17-10871,34078,ART0005242,100.0,142.63,30.0
97,ART0000748,ODP17-10871,34079,ART0005243,50.0,5.6,30.0
98,ART0000748,ODP17-10871,34080,ART0005677,50.0,12.6,30.0
99,ART0001628,ODP17-01517,23742,ART0005356,1950.0,4.23,30.0
100,ART0001775,ODP16-17386,23220,ART0005334,2550.0,185.31,30.0
101,ART0001775,ODP17-03845,26885,ART0005334,2465.0,179.12,30.0
102,ART0001775,ODP17-09161,31426,ART0005334,2905.0,211.09,30.0
103,ART0001799,ODP17-07396,29991,ART0005334,2741.0,199.17,30.0
104,ART0001807,ODP17-03175,34069,ART0005460,1325.0,517.42,30.0
105,ART0001908,ODP17-07396,29989,ART0005652,3030.0,102.95,30.0
106,ART0001908,ODP17-07396,29990,ART0005652,3030.0,102.96,30.0
107,ART0003785,ODP16-16557,22113,ART0001082,3600.0,71.81,30.0
108,ART0003785,ODP17-04830,28396,ART0001082,3750.0,74.8,30.0
109,ART0004152,ODP17-01270,26347,ART0005537,4260.0,14.2,30.0
110,ART0004392,ODP17-10822,33016,ART0005864,30.0,294.0,30.0
111,ART0001154,ODP16-17335,22284,ART0005229,3625.0,27.19,29.0
112,ART0001775,ODP17-03845,26885,ART0005334,2465.0,179.12,29.0
113,ART0005136,ODP17-14994,34378,ART0005176,6.0,0.0,29.0
114,ART0001615,ODP17-02266,24947,ART0005316,8680.0,34.72,28.0
115,ART0003610,ODP17-09928,32184,ART0005335,28.0,4.2,28.0
116,ART0003610,ODP17-09928,32185,ART0005336,28.0,22.4,28.0
117,ART0003610,ODP17-09928,32186,ART0005154,1288.0,71.76,28.0
118,ART0004386,ODP17-09675,32029,ART0005172,840.0,13.99,28.0
119,ART0002102,ODP16-16942,22416,ART0005185,1092.0,11.5,26.0
120,ART0004386,ODP17-03849,26941,ART0005172,780.0,12.99,26.0
121,ART0004403,ODP17-09018,30877,ART0005193,1300.0,72.26,26.0
122,ART0000308,ODP17-15569,35508,ART0005954,25.0,132.5,25.0
123,ART0000627,ODP17-10512,33544,ART0005373,3125.0,123.97,25.0
124,ART0001807,ODP17-03175,34069,ART0005460,1325.0,517.42,25.0
125,ART0002385,ODP17-00322,23101,ART0005311,3125.0,244.79,25.0
126,ART0004357,ODP17-09675,32028,ART0005824,1000.0,138.01,25.0
127,ART0001422,ODP17-02267,25220,ART0005451,1200.0,18.96,24.0
128,ART0001659,ODP17-01517,23748,ART0005357,10800.0,22.44,24.0
129,ART0002385,ODP17-07396,29987,ART0005750,3000.0,291.84,24.0
130,ART0004880,ODP17-13646,35041,ART0005233,960.0,8.56,24.0
131,ART0000644,ODP17-10512,33547,ART0005287,2971.0,89.43,23.0
132,ART0000645,ODP16-16561,22831,ART0005215,1495.0,209.9,23.0
133,ART0000645,ODP17-01693,23837,ART0005215,1495.0,209.89,23.0
134,ART0001433,ODP17-07895,28807,ART0005614,1100.0,5.75,22.0
135,ART0003609,ODP17-06015,31152,ART0005187,1386.0,815.91,22.0
136,ART0003642,ODP17-06015,31151,ART0005188,1155.0,14.78,22.0
137,ART0003704,ODP17-06015,31158,ART0001082,4312.0,86.01,22.0
138,ART0000630,ODP17-00857,23833,ART0005286,1743.0,50.56,21.0
139,ART0000644,ODP16-16561,22830,ART0005287,2646.0,79.64,21.0
140,ART0001770,ODP17-14976,35488,ART0005951,1575.0,148.05,21.0
141,ART0001897,ODP17-04829,27789,ART0005154,3150.0,171.21,21.0
142,ART0002836,ODP17-03125,26482,ART0005558,189.0,348.33,21.0
143,ART0000627,ODP16-15709,22186,ART0005210,2500.0,0.0,20.0
144,ART0000627,ODP17-01693,23835,ART0005373,2500.0,117.52,20.0
145,ART0000645,ODP17-10512,33548,ART0005871,1300.0,158.66,20.0
146,ART0000762,ODP17-04829,27775,ART0001897,20.0,1497.01,20.0
147,ART0000762,ODP17-04829,27776,ART0001785,20.0,714.46,20.0
148,ART0000762,ODP17-04829,27777,ART0005149,20.0,0.0,20.0
149,ART0000762,ODP17-04829,27778,ART0005140,60.0,90.0,20.0
150,ART0000762,ODP17-04829,27779,ART0005150,20.0,0.0,20.0
151,ART0000762,ODP17-04829,27780,ART0005151,20.0,2.94,20.0
152,ART0000762,ODP17-04829,27781,ART0005453,40.0,52.96,20.0
153,ART0000762,ODP17-04829,27782,ART0005454,20.0,7.02,20.0
154,ART0001575,ODP17-15387,35334,ART0005314,2700.0,0.97,20.0
155,ART0001759,ODP17-09336,32061,ART0005227,1500.0,115.2,20.0
156,ART0001759,ODP17-10489,32866,ART0005227,1500.0,115.2,20.0
157,ART0001785,ODP17-02385,25290,ART0005217,1600.0,206.87,20.0
158,ART0001785,ODP17-04829,27790,ART0005148,1600.0,182.52,20.0
159,ART0001785,ODP17-08916,30594,ART0005217,1600.0,214.31,20.0
160,ART0001785,ODP17-12824,34671,ART0001085,1600.0,177.0,20.0
161,ART0001866,ODP17-10489,32865,ART0005160,3400.0,745.12,20.0
162,ART0001897,ODP17-02385,25289,ART0005154,3000.0,73.04,20.0
163,ART0001897,ODP17-08916,30593,ART0005154,3000.0,163.73,20.0
164,ART0001897,ODP17-12824,34670,ART0005154,3000.0,177.32,20.0
165,ART0002793,ODP17-00856,23137,ART0005323,20.0,196.0,20.0
166,ART0002793,ODP17-03852,26466,ART0005323,20.0,196.0,20.0
167,ART0003099,ODP17-09243,30844,ART0005657,1200.0,4.5,20.0
168,ART0003310,ODP17-08763,30103,ART0005190,80.0,7.78,20.0
169,ART0004836,ODP17-05468,28008,ART0005668,20.0,260.0,20.0
170,ART0000795,ODP17-01092,23375,ART0001866,20.0,2708.72,19.0
171,ART0000795,ODP17-01092,23376,ART0001759,20.0,675.17,19.0
172,ART0000795,ODP17-01092,23377,ART0005137,20.0,0.0,19.0
173,ART0000795,ODP17-01092,23378,ART0005152,20.0,0.0,19.0
174,ART0000795,ODP17-01092,23379,ART0003832,40.0,100.0,19.0
175,ART0000795,ODP17-01092,23380,ART0005153,20.0,7.28,19.0
176,ART0001566,ODP17-02710,25756,ART0005167,2610.0,1.22,18.0
177,ART0001866,ODP17-08040,29756,ART0005160,2975.0,635.8,18.0
178,ART0001866,ODP17-08040,29757,ART0005160,175.0,37.4,18.0
179,ART0001877,ODP17-09820,32352,ART0005154,2430.0,135.38,18.0
180,ART0002385,ODP17-03853,27242,ART0005311,2250.0,176.25,18.0
181,ART0003269,ODP17-09266,31968,ART0005817,990.0,4.97,18.0
182,ART0000223,ODP17-05309,27742,ART0005644,16.0,116.8,17.0
183,ART0001866,ODP17-08040,29756,ART0005160,2975.0,635.8,17.0
184,ART0001866,ODP17-08040,29757,ART0005160,175.0,37.4,17.0
185,ART0000121,ODP17-09469,32867,ART0005848,16.0,61.92,16.0
186,ART0000223,ODP17-05309,27742,ART0005644,16.0,116.8,16.0
187,ART0000645,ODP17-03507,26195,ART0005215,1040.0,146.01,16.0
188,ART0000880,ODP17-13155,34561,ART0001083,400.0,12.94,16.0
189,ART0000882,ODP17-13155,34552,ART0005275,2320.0,22.04,16.0
190,ART0001433,ODP17-03979,26622,ART0005291,800.0,6.12,16.0
191,ART0001535,ODP17-09243,30830,ART0005325,400.0,1.96,16.0
192,ART0001575,ODP17-13201,33409,ART0005314,2240.0,0.8,16.0
193,ART0001733,ODP17-02883,25678,ART0005481,15.0,123.0,16.0
194,ART0001759,ODP17-04829,27792,ART0005227,1200.0,185.11,16.0
195,ART0001759,ODP17-08040,29758,ART0005227,1200.0,92.16,16.0
196,ART0001785,ODP16-17384,23158,ART0005148,1280.0,138.25,16.0
197,ART0001866,ODP17-04829,27791,ART0005160,2672.0,571.03,16.0
198,ART0001886,ODP17-09161,31425,ART0005434,3120.0,61.47,16.0
199,ART0002224,ODP17-02988,25369,ART0005439,1088.0,166.46,16.0
200,ART0002366,ODP17-02988,25370,ART0001074,560.0,96.16,16.0
201,ART0002424,ODP17-09902,32322,ART0005813,1280.0,1.57,16.0
202,ART0002504,ODP17-02529,25672,ART0005479,16.0,72.0,16.0
203,ART0004946,ODP17-01515,24278,ART0005417,1216.0,15.81,16.0
204,ART0005036,ODP17-08618,29313,ART0005160,320.0,68.38,16.0
205,ART0005037,ODP17-08618,29314,ART0005635,352.0,50.3,16.0
206,ART0000762,ODP16-17384,23151,ART0001897,15.0,1537.73,15.0
207,ART0000762,ODP16-17384,23152,ART0001785,15.0,715.55,15.0
208,ART0000762,ODP16-17384,23153,ART0005149,15.0,0.0,15.0
209,ART0000762,ODP16-17384,23154,ART0005140,45.0,67.5,15.0
210,ART0000762,ODP16-17384,23155,ART0005150,15.0,0.0,15.0
211,ART0000762,ODP16-17384,23156,ART0005151,15.0,2.21,15.0
212,ART0000795,ODP17-10489,32859,ART0001866,15.0,2171.35,15.0
213,ART0000795,ODP17-10489,32860,ART0001759,15.0,461.4,15.0
214,ART0000795,ODP17-10489,32861,ART0005137,15.0,0.0,15.0
215,ART0000795,ODP17-10489,32862,ART0005152,15.0,0.0,15.0
216,ART0000795,ODP17-10489,32863,ART0003832,30.0,86.1,15.0
217,ART0000795,ODP17-10489,32864,ART0005153,15.0,5.46,15.0
218,ART0000848,ODP16-17386,23213,ART0001886,15.0,1337.5,15.0
219,ART0000848,ODP16-17386,23214,ART0001775,15.0,711.41,15.0
220,ART0000848,ODP16-17386,23215,ART0001403,15.0,62.5,15.0
221,ART0000848,ODP16-17386,23216,ART0005222,45.0,95.25,15.0
222,ART0000848,ODP16-17386,23217,ART0005332,30.0,118.5,15.0
223,ART0000848,ODP16-17386,23218,ART0005283,15.0,1.32,15.0
224,ART0000848,ODP17-03845,26877,ART0001886,15.0,1233.23,15.0
225,ART0000848,ODP17-03845,26878,ART0001775,15.0,693.94,15.0
226,ART0000848,ODP17-03845,26879,ART0001403,15.0,50.0,15.0
227,ART0000848,ODP17-03845,26880,ART0005222,45.0,90.0,15.0
228,ART0000848,ODP17-03845,26881,ART0005332,30.0,90.85,15.0
229,ART0000848,ODP17-03845,26882,ART0005283,15.0,1.31,15.0
230,ART0000848,ODP17-06375,28700,ART0001886,15.0,1085.39,15.0
231,ART0000848,ODP17-06375,28701,ART0001775,15.0,696.27,15.0
232,ART0000848,ODP17-06375,28702,ART0001403,15.0,49.78,15.0
233,ART0000848,ODP17-06375,28703,ART0005222,45.0,90.0,15.0
234,ART0000848,ODP17-06375,28704,ART0005332,30.0,118.5,15.0
235,ART0000848,ODP17-06375,28705,ART0005283,15.0,1.31,15.0
236,ART0000848,ODP17-09161,31417,ART0001886,15.0,1173.3,15.0
237,ART0000848,ODP17-09161,31418,ART0001775,15.0,674.4,15.0
238,ART0000848,ODP17-09161,31419,ART0001403,15.0,50.0,15.0
239,ART0000848,ODP17-09161,31420,ART0005222,45.0,90.0,15.0
240,ART0000848,ODP17-09161,31421,ART0005332,30.0,118.5,15.0
241,ART0000848,ODP17-09161,31422,ART0005283,15.0,1.31,15.0
242,ART0000851,ODP17-07396,29982,ART0001908,15.0,533.56,15.0
243,ART0000851,ODP17-07396,29983,ART0001799,15.0,693.34,15.0
244,ART0000851,ODP17-07396,29984,ART0001406,30.0,40.88,15.0
245,ART0000851,ODP17-07396,29985,ART0005477,15.0,1.3,15.0
246,ART0000851,ODP17-07396,29986,ART0005478,45.0,96.0,15.0
247,ART0000851,ODP17-10421,32341,ART0001908,15.0,539.59,15.0
248,ART0000851,ODP17-10421,32342,ART0001799,15.0,693.34,15.0
249,ART0000851,ODP17-10421,32343,ART0001406,30.0,51.25,15.0
250,ART0000851,ODP17-10421,32344,ART0005477,15.0,1.29,15.0
251,ART0000851,ODP17-10421,32345,ART0005478,45.0,99.0,15.0
252,ART0000853,ODP17-03175,34066,ART0001807,30.0,1621.65,15.0
253,ART0000853,ODP17-03175,34067,ART0001917,30.0,2333.16,15.0
254,ART0000853,ODP17-03175,34068,ART0003839,60.0,300.0,15.0
255,ART0001733,ODP17-02883,25678,ART0005481,15.0,123.0,15.0
256,ART0001765,ODP17-09820,32353,ART0005165,825.0,516.42,15.0
257,ART0001775,ODP16-17386,23220,ART0005334,2550.0,185.31,15.0
258,ART0001785,ODP16-17384,23158,ART0005148,1280.0,138.25,15.0
259,ART0001886,ODP16-17386,23219,ART0005333,2925.0,0.0,15.0
260,ART0001886,ODP17-01410,24444,ART0001082,2925.0,58.34,15.0
261,ART0001886,ODP17-03845,26884,ART0005434,2880.0,53.23,15.0
262,ART0001886,ODP17-06375,28706,ART0005434,2880.0,55.38,15.0
263,ART0001897,ODP16-17384,23157,ART0005154,2175.0,87.73,15.0
264,ART0001908,ODP17-02529,25673,ART0005457,1485.0,46.11,15.0
265,ART0002476,ODP17-05186,27915,ART0005224,225.0,12.6,15.0
266,ART0002490,ODP17-11844,34419,ART0005411,180.0,16.32,15.0
267,ART0001908,ODP17-02529,25673,ART0005457,1485.0,46.11,14.0
268,ART0005136,ODP17-09334,31174,ART0005176,14.0,0.0,14.0
269,ART0000756,ODP17-09820,32347,ART0001877,13.0,1364.56,13.0
270,ART0000756,ODP17-09820,32348,ART0001765,13.0,934.06,13.0
271,ART0000756,ODP17-09820,32349,ART0001429,26.0,64.09,13.0
272,ART0000756,ODP17-09820,32350,ART0005140,39.0,66.37,13.0
273,ART0000756,ODP17-09820,32351,ART0005141,13.0,2.55,13.0
274,ART0000848,ODP17-01410,24438,ART0001886,15.0,1270.84,13.0
275,ART0000848,ODP17-01410,24439,ART0001775,15.0,714.86,13.0
276,ART0000848,ODP17-01410,24440,ART0001403,15.0,75.0,13.0
277,ART0000848,ODP17-01410,24441,ART0005222,45.0,90.0,13.0
278,ART0000848,ODP17-01410,24442,ART0005332,30.0,39.5,13.0
279,ART0000848,ODP17-01410,24443,ART0005283,15.0,1.32,13.0
280,ART0002102,ODP17-12738,34385,ART0005185,540.0,5.22,13.0
281,ART0002416,ODP17-11008,34451,ART0005685,84.0,0.42,13.0
282,ART0003309,ODP17-10449,32661,ART0005190,104.0,10.12,13.0
283,ART0004717,ODP17-10509,32962,ART0005685,1690.0,8.45,13.0
284,ART0004885,ODP17-05706,27903,ART0005650,2160.0,10.08,13.0
285,ART0004898,ODP17-12282,33693,ART0005537,936.0,3.13,13.0
286,ART0000228,ODP17-15223,34991,ART0005610,3000.0,62.4,12.0
287,ART0000229,ODP17-15223,34993,ART0005930,1560.0,7.9,12.0
288,ART0000313,ODP17-05181,30603,ART0005377,12.0,116.4,12.0
289,ART0001149,ODP17-09784,32033,ART0005637,1380.0,18.54,12.0
290,ART0001427,ODP17-08436,29576,ART0005716,96.0,0.14,12.0
291,ART0001514,ODP17-05734,28572,ART0005227,258.0,19.81,12.0
292,ART0001590,ODP17-07896,28817,ART0005695,2760.0,3.83,12.0
293,ART0001605,ODP17-12158,34421,ART0005729,2580.0,1.72,12.0
294,ART0001606,ODP17-12158,34422,ART0005912,2520.0,7.14,12.0
295,ART0001628,ODP17-12155,34307,ART0005356,780.0,1.28,12.0
296,ART0001811,ODP17-05018,27663,ART0005560,1140.0,174.84,12.0
297,ART0001872,ODP17-10288,32519,ART0005835,3000.0,0.0,12.0
298,ART0001886,ODP17-01410,24444,ART0001082,2925.0,58.34,12.0
299,ART0001921,ODP17-01273,24177,ART0005171,1375.0,112.68,12.0
300,ART0001921,ODP17-09443,32052,ART0005171,1500.0,118.99,12.0
301,ART0001926,ODP16-14758,22492,ART0005263,1020.0,128.53,12.0
302,ART0001989,ODP17-02503,25709,ART0005168,101.0,9.91,12.0
303,ART0002079,ODP17-08862,30941,ART0005655,1080.0,1.87,12.0
304,ART0002102,ODP17-12738,34385,ART0005185,540.0,5.22,12.0
305,ART0002107,ODP17-08862,30942,ART0005291,1320.0,10.08,12.0
306,ART0002829,ODP17-08763,30099,ART0005165,180.0,88.25,12.0
307,ART0003310,ODP17-10449,32662,ART0005190,36.0,3.5,12.0
308,ART0004659,ODP17-10509,32959,ART0005855,15240.0,33.87,12.0
309,ART0004689,ODP17-10514,33798,ART0005886,725.0,19.94,12.0
310,ART0004885,ODP17-05706,27903,ART0005650,2160.0,10.08,12.0
311,ART0004886,ODP17-05706,27904,ART0005651,12.0,132.0,12.0
312,ART0004886,ODP17-05706,27905,ART0005650,2220.0,10.36,12.0
313,ART0004886,ODP17-05706,27906,ART0005652,4000.0,135.9,12.0
314,ART0004889,ODP17-11123,33411,ART0005867,3.0,40.0,12.0
315,ART0004901,ODP17-12282,33694,ART0005181,624.0,3.44,12.0
316,ART0004902,ODP17-12282,33695,ART0005488,1560.0,106.7,12.0
317,ART0005136,ODP17-05306,26799,ART0005176,12.0,0.0,12.0
318,ART0000128,ODP16-15233,22836,ART0005290,11.0,66.0,11.0
319,ART0000628,ODP17-02528,25245,ART0005213,3905.0,320.19,11.0
320,ART0001272,ODP17-04828,27128,ART0005416,1815.0,143.3,11.0
321,ART0001794,ODP17-03188,25916,ART0005485,994.0,337.85,11.0
