,NrMovimento,Budget/cons,CodiceMP,NrArticolo,NrDocumento,QuantityMPImpiegata,ImportoCostoTOTALE
75,43577,CONSUNTIVO,ART0005289,ART0000312,ODP18-02984,43.0,86.0
76,49991,CONSUNTIVO,ART0005289,ART0000312,ODP18-06496,45.0,90.0
77,60128,CONSUNTIVO,ART0005289,ART0000312,ODP19-02793,26.0,26.0
78,63071,CONSUNTIVO,ART0005289,ART0000312,ODP19-03999,16.0,25.6
79,23847,BUDGET,ART0005377,ART0000313,ODP17-00418,7.0,74.4
80,30603,BUDGET,ART0005377,ART0000313,ODP17-05181,12.0,116.4
81,48707,CONSUNTIVO,ART0005377,ART0000313,ODP18-06831,10.0,97.0
82,57631,CONSUNTIVO,ART0005377,ART0000313,ODP19-01976,10.0,35.0
83,64012,CONSUNTIVO,ART0005377,ART0000313,ODP19-04860,10.0,52.0
84,28516,BUDGET,ART0005409,ART0000320,ODP17-04831,66.0,22.36
85,35511,BUDGET,ART0005409,ART0000320,ODP17-10637,75.0,25.41
86,47662,CONSUNTIVO,ART0005409,ART0000320,ODP18-05889,92.0,31.17
87,56426,CONSUNTIVO,ART0005491,ART0000320,ODP19-01745,69.0,29.89
88,28858,BUDGET,ART0005698,ART0000323,ODP17-05343,100.0,45.64
89,43587,CONSUNTIVO,ART0005698,ART0000323,ODP18-05093,110.0,50.2
90,56529,CONSUNTIVO,ART0006648,ART0000323,ODP19-01044,6.0,300.0
91,60352,CONSUNTIVO,ART0006648,ART0000323,ODP19-03292,6.0,156.0
92,28859,BUDGET,ART0005485,ART0000324,ODP17-05343,75.0,25.68
93,43571,CONSUNTIVO,ART0006044,ART0000324,ODP18-03841,8.0,40.0
94,64858,CONSUNTIVO,ART0006044,ART0000324,ODP19-06059,9.0,45.0
95,28860,BUDGET,ART0005698,ART0000325,ODP17-05343,125.0,57.05
96,43572,CONSUNTIVO,ART0005698,ART0000325,ODP18-03841,224.0,102.23
97,57188,CONSUNTIVO,ART0006678,ART0000325,ODP19-01591,5.0,90.0
98,60353,CONSUNTIVO,ART0006678,ART0000325,ODP19-03292,8.0,144.0
99,28513,BUDGET,ART0005224,ART0000456,ODP17-04656,140.0,7.84
100,40761,CONSUNTIVO,ART0005224,ART0000456,ODP18-02204,176.0,9.86
101,49431,CONSUNTIVO,ART0005224,ART0000456,ODP18-06065,320.0,17.92
102,32733,BUDGET,ART0005172,ART0000555,ODP17-11006,80.0,1.33
103,37493,CONSUNTIVO,ART0005998,ART0000555,ODP18-00769,166.0,0.0
104,49942,CONSUNTIVO,ART0005172,ART0000555,ODP18-07599,166.0,4.42
105,50405,CONSUNTIVO,ART0005172,ART0000555,ODP18-08121,291.0,7.75
106,22185,BUDGET,ART0005209,ART0000625,ODP16-15709,1200.0,157.89
107,23834,BUDGET,ART0005209,ART0000625,ODP17-01693,1225.0,161.18
108,33543,BUDGET,ART0005209,ART0000625,ODP17-10512,2400.0,145.0
109,48239,CONSUNTIVO,ART0005209,ART0000625,ODP18-06161,241.0,14.56
110,57781,CONSUNTIVO,ART0005209,ART0000625,ODP19-01905,723.0,43.69
111,64996,CONSUNTIVO,ART0005209,ART0000625,ODP19-06105,1205.0,62.6
112,22186,BUDGET,ART0005210,ART0000627,ODP16-15709,2500.0,0.0
113,23835,BUDGET,ART0005373,ART0000627,ODP17-01693,2500.0,117.52
114,33544,BUDGET,ART0005373,ART0000627,ODP17-10512,3125.0,123.97
115,57782,CONSUNTIVO,ART0005373,ART0000627,ODP19-01905,2142.0,61.58
116,64997,CONSUNTIVO,ART0005373,ART0000627,ODP19-06105,1500.0,42.14
117,25245,BUDGET,ART0005213,ART0000628,ODP17-02528,3905.0,320.19
118,43546,CONSUNTIVO,ART0005213,ART0000628,ODP18-05127,3560.0,460.43
119,22829,BUDGET,ART0005286,ART0000630,ODP16-16561,2460.0,70.85
120,23833,BUDGET,ART0005286,ART0000630,ODP17-00857,1743.0,50.56
121,32085,BUDGET,ART0005286,ART0000630,ODP17-09327,3444.0,106.53
122,37821,CONSUNTIVO,ART0005286,ART0000630,ODP17-15961,2784.0,83.15
123,43547,CONSUNTIVO,ART0005286,ART0000630,ODP18-05127,3569.0,109.22
124,23836,BUDGET,ART0005211,ART0000635,ODP17-01693,10.0,30.0
125,33545,BUDGET,ART0005211,ART0000635,ODP17-10512,10.0,30.0
126,57783,CONSUNTIVO,ART0005211,ART0000635,ODP19-01905,4.0,12.0
127,64998,CONSUNTIVO,ART0007102,ART0000635,ODP19-06105,10.0,88.0
128,27243,BUDGET,ART0005607,ART0000638,ODP17-04653,10.0,30.0
129,48241,CONSUNTIVO,ART0005607,ART0000638,ODP18-06161,10.0,30.0
130,22188,BUDGET,ART0005210,ART0000639,ODP16-15709,665.0,0.0
131,33546,BUDGET,ART0005373,ART0000639,ODP17-10512,950.0,34.44
132,48242,CONSUNTIVO,ART0005589,ART0000639,ODP18-06161,1056.0,40.29
133,27244,BUDGET,ART0005608,ART0000641,ODP17-04653,5.0,60.0
134,38398,CONSUNTIVO,ART0005608,ART0000641,ODP18-02126,5.0,60.0
135,58494,CONSUNTIVO,ART0005608,ART0000641,ODP19-02545,1.0,12.0
136,64999,CONSUNTIVO,ART0005608,ART0000641,ODP19-06105,10.0,120.0
