,NrArticolo,NrOrdineProduzione,Descrizione,NrAreaProduzione,Risorsa,TempoRisorsa,CostoOrarioRisorsa,QuantitydiOutput,NrMovimentoMP,CodiceMP,QuantityMPImpiegata,ImportoCostoTotaleMP
53,ART0000129,ODP18-05141,Fresatura,A30,RIS1,0.0001,80,6.0,45906,ART0005447,6.0,258.0
54,ART0000131,ODP17-15960,Tornitura,A20,RIS2,5.5,80,8.0,36413,ART0005936,1656.0,51.0
55,ART0000131,ODP17-15960,Controllo qualità,CQ,RIS16,0.0,15,8.0,36413,ART0005936,1656.0,51.0
56,ART0000151,ODP18-00265,Fresatura,A30,RIS5,2.0,50,0.0,39864,ART0005892,5.0,40.0
57,ART0000151,ODP18-00265,Fresatura,A30,RIS5,1.0,50,0.0,39864,ART0005892,5.0,40.0
58,ART0000151,ODP18-00265,Controllo qualità,CQ,RIS16,0.0,15,5.0,39864,ART0005892,5.0,40.0
59,ART0000152,ODP18-00265,Fresatura,A30,RIS2,2.25,60,0.0,39865,ART0005824,100.0,14.6
60,ART0000152,ODP18-00265,Tornitura,A20,RIS2,3.25,80,5.0,39865,ART0005824,100.0,14.6
61,ART0000152,ODP18-00265,Fresatura,A30,RIS2,-2.25,60,5.0,39865,ART0005824,100.0,14.6
62,ART0000152,ODP18-00265,Fresatura,A30,RIS9,0.5,50,0.0,39865,ART0005824,100.0,14.6
63,ART0000152,ODP18-00265,Controllo qualità,CQ,RIS16,0.0,15,5.0,39865,ART0005824,100.0,14.6
64,ART0000157,ODP19-01044,Tornitura,A20,RIS1,3.0,80,0.0,56531,ART0005869,1.0,45.0
65,ART0000157,ODP19-01044,Tornitura,A20,RIS1,5.0,80,1.0,56531,ART0005869,1.0,45.0
66,ART0000157,ODP19-01044,Fresatura,A30,RIS14,1.25,50,1.0,56531,ART0005869,1.0,45.0
67,ART0000157,ODP19-01044,Controllo qualità,CQ,RIS16,0.0,15,1.0,56531,ART0005869,1.0,45.0
68,ART0000223,ODP19-02131,Fresatura,A30,RIS14,3.5,50,4.0,58366,ART0005644,4.0,29.2
69,ART0000223,ODP19-02131,Fresatura,A30,RIS14,1.5,50,0.0,58366,ART0005644,4.0,29.2
70,ART0000223,ODP19-02131,Controllo qualità,CQ,RIS16,0.0,15,4.0,58366,ART0005644,4.0,29.2
71,ART0000226,ODP17-14304,Tornitura,A20,RIS2,0.75,80,6.0,36564,ART0005154,120.0,7.09
72,ART0000226,ODP17-14304,Tornitura,A20,RIS2,0.75,80,6.0,36565,ART0005891,1440.0,61.75
73,ART0000226,ODP17-14304,Tornitura,A20,RIS2,2.25,80,0.0,36564,ART0005154,120.0,7.09
74,ART0000226,ODP17-14304,Tornitura,A20,RIS2,2.25,80,0.0,36565,ART0005891,1440.0,61.75
75,ART0000226,ODP17-14304,Tornitura,A20,RIS2,3.5,80,-1.0,36564,ART0005154,120.0,7.09
76,ART0000226,ODP17-14304,Tornitura,A20,RIS2,3.5,80,-1.0,36565,ART0005891,1440.0,61.75
77,ART0000226,ODP17-14304,Fresatura,A30,RIS9,0.5,50,5.0,36564,ART0005154,120.0,7.09
78,ART0000226,ODP17-14304,Fresatura,A30,RIS9,0.5,50,5.0,36565,ART0005891,1440.0,61.75
79,ART0000226,ODP18-02445,Tornitura,A20,RIS2,3.5,80,8.0,41715,ART0005154,184.0,10.88
80,ART0000226,ODP18-02445,Tornitura,A20,RIS2,3.5,80,8.0,41716,ART0005891,1888.0,80.96
81,ART0000226,ODP18-02445,Tornitura,A20,RIS2,0.5,80,0.0,41715,ART0005154,184.0,10.88
82,ART0000226,ODP18-02445,Tornitura,A20,RIS2,0.5,80,0.0,41716,ART0005891,1888.0,80.96
83,ART0000226,ODP18-02445,Tornitura,A20,RIS2,3.5,80,0.0,41715,ART0005154,184.0,10.88
84,ART0000226,ODP18-02445,Tornitura,A20,RIS2,3.5,80,0.0,41716,ART0005891,1888.0,80.96
85,ART0000226,ODP18-02445,Fresatura,A30,RIS9,0.5,50,0.0,41715,ART0005154,184.0,10.88
86,ART0000226,ODP18-02445,Fresatura,A30,RIS9,0.5,50,0.0,41716,ART0005891,1888.0,80.96
87,ART0000226,ODP18-02445,Fresatura,A30,RIS11,2.169,60,8.0,41715,ART0005154,184.0,10.88
88,ART0000226,ODP18-02445,Fresatura,A30,RIS11,2.169,60,8.0,41716,ART0005891,1888.0,80.96
89,ART0000226,ODP18-02445,Controllo qualità,CQ,RIS16,0.0,15,8.0,41715,ART0005154,184.0,10.88
90,ART0000226,ODP18-02445,Controllo qualità,CQ,RIS16,0.0,15,8.0,41716,ART0005891,1888.0,80.96
91,ART0000226,ODP18-05311,Tornitura,A20,RIS2,4.25,80,10.0,45065,ART0005891,2360.0,105.23
92,ART0000226,ODP18-05311,Tornitura,A20,RIS2,4.25,80,10.0,45066,ART0005154,180.0,11.25
93,ART0000226,ODP18-05311,Tornitura,A20,RIS2,4.25,80,10.0,45067,ART0005891,235.0,11.05
94,ART0000226,ODP18-05311,Tornitura,A20,RIS2,1.0,80,0.0,45065,ART0005891,2360.0,105.23
95,ART0000226,ODP18-05311,Tornitura,A20,RIS2,1.0,80,0.0,45066,ART0005154,180.0,11.25
96,ART0000226,ODP18-05311,Tornitura,A20,RIS2,1.0,80,0.0,45067,ART0005891,235.0,11.05
97,ART0000226,ODP18-05311,Tornitura,A20,RIS2,1.5,80,0.0,45065,ART0005891,2360.0,105.23
98,ART0000226,ODP18-05311,Tornitura,A20,RIS2,1.5,80,0.0,45066,ART0005154,180.0,11.25
99,ART0000226,ODP18-05311,Tornitura,A20,RIS2,1.5,80,0.0,45067,ART0005891,235.0,11.05
100,ART0000226,ODP18-05311,Tornitura,A20,RIS2,3.0,80,0.0,45065,ART0005891,2360.0,105.23
101,ART0000226,ODP18-05311,Tornitura,A20,RIS2,3.0,80,0.0,45066,ART0005154,180.0,11.25
102,ART0000226,ODP18-05311,Tornitura,A20,RIS2,3.0,80,0.0,45067,ART0005891,235.0,11.05
103,ART0000226,ODP18-05311,Fresatura,A30,RIS1,5.0,80,0.0,45065,ART0005891,2360.0,105.23
104,ART0000226,ODP18-05311,Fresatura,A30,RIS1,5.0,80,0.0,45066,ART0005154,180.0,11.25
105,ART0000226,ODP18-05311,Fresatura,A30,RIS1,5.0,80,0.0,45067,ART0005891,235.0,11.05
106,ART0000226,ODP18-05311,Fresatura,A30,RIS1,4.0,80,10.0,45065,ART0005891,2360.0,105.23
107,ART0000226,ODP18-05311,Fresatura,A30,RIS1,4.0,80,10.0,45066,ART0005154,180.0,11.25
108,ART0000226,ODP18-05311,Fresatura,A30,RIS1,4.0,80,10.0,45067,ART0005891,235.0,11.05
109,ART0000226,ODP18-05311,Saldatura,A11,RIS13,1.0,50,10.0,45065,ART0005891,2360.0,105.23
110,ART0000226,ODP18-05311,Saldatura,A11,RIS13,1.0,50,10.0,45066,ART0005154,180.0,11.25
111,ART0000226,ODP18-05311,Saldatura,A11,RIS13,1.0,50,10.0,45067,ART0005891,235.0,11.05
112,ART0000226,ODP18-05311,Fresatura,A30,RIS11,2.33,60,10.0,45065,ART0005891,2360.0,105.23
113,ART0000226,ODP18-05311,Fresatura,A30,RIS11,2.33,60,10.0,45066,ART0005154,180.0,11.25
114,ART0000226,ODP18-05311,Fresatura,A30,RIS11,2.33,60,10.0,45067,ART0005891,235.0,11.05
115,ART0000226,ODP18-05311,Controllo qualità,CQ,RIS16,0.0,15,10.0,45065,ART0005891,2360.0,105.23
116,ART0000226,ODP18-05311,Controllo qualità,CQ,RIS16,0.0,15,10.0,45066,ART0005154,180.0,11.25
117,ART0000226,ODP18-05311,Controllo qualità,CQ,RIS16,0.0,15,10.0,45067,ART0005891,235.0,11.05
118,ART0000226,ODP18-08227,Tornitura,A20,RIS2,3.75,80,12.0,51780,ART0005891,2832.0,133.2
119,ART0000226,ODP18-08227,Tornitura,A20,RIS2,3.75,80,12.0,51781,ART0005154,264.0,15.78
120,ART0000226,ODP18-08227,Saldatura,A11,RIS3,1.5,50,12.0,51780,ART0005891,2832.0,133.2
121,ART0000226,ODP18-08227,Saldatura,A11,RIS3,1.5,50,12.0,51781,ART0005154,264.0,15.78
122,ART0000226,ODP18-08227,Tornitura,A20,RIS2,3.75,80,0.0,51780,ART0005891,2832.0,133.2
123,ART0000226,ODP18-08227,Tornitura,A20,RIS2,3.75,80,0.0,51781,ART0005154,264.0,15.78
124,ART0000226,ODP18-08227,Tornitura,A20,RIS2,1.25,80,0.0,51780,ART0005891,2832.0,133.2
125,ART0000226,ODP18-08227,Tornitura,A20,RIS2,1.25,80,0.0,51781,ART0005154,264.0,15.78
126,ART0000226,ODP18-08227,Fresatura,A30,RIS1,4.0,80,12.0,51780,ART0005891,2832.0,133.2
127,ART0000226,ODP18-08227,Fresatura,A30,RIS1,4.0,80,12.0,51781,ART0005154,264.0,15.78
128,ART0000226,ODP18-08227,Controllo qualità,CQ,RIS16,0.0,15,12.0,51780,ART0005891,2832.0,133.2
129,ART0000226,ODP18-08227,Controllo qualità,CQ,RIS16,0.0,15,12.0,51781,ART0005154,264.0,15.78
130,ART0000226,ODP19-02529,Tornitura,A20,RIS2,3.0,80,10.0,61372,ART0005891,2360.0,145.29
131,ART0000226,ODP19-02529,Tornitura,A20,RIS2,3.0,80,10.0,61373,ART0006359,150.0,6.94
132,ART0000226,ODP19-02529,Saldatura,A11,RIS3,1.0,50,10.0,61372,ART0005891,2360.0,145.29
133,ART0000226,ODP19-02529,Saldatura,A11,RIS3,1.0,50,10.0,61373,ART0006359,150.0,6.94
134,ART0000226,ODP19-02529,Tornitura,A20,RIS1,1.0,80,0.0,61372,ART0005891,2360.0,145.29
135,ART0000226,ODP19-02529,Tornitura,A20,RIS1,1.0,80,0.0,61373,ART0006359,150.0,6.94
136,ART0000226,ODP19-02529,Tornitura,A20,RIS1,5.0,80,10.0,61372,ART0005891,2360.0,145.29
137,ART0000226,ODP19-02529,Tornitura,A20,RIS1,5.0,80,10.0,61373,ART0006359,150.0,6.94
138,ART0000226,ODP19-02529,Fresatura,A30,RIS1,3.0,80,10.0,61372,ART0005891,2360.0,145.29
139,ART0000226,ODP19-02529,Fresatura,A30,RIS1,3.0,80,10.0,61373,ART0006359,150.0,6.94
140,ART0000227,ODP18-03045,Tornitura,A20,RIS1,10.0,80,0.0,40034,ART0005934,13320.0,196.07
141,ART0000227,ODP18-03045,Tornitura,A20,RIS1,4.0,80,0.0,40034,ART0005934,13320.0,196.07
142,ART0000227,ODP18-03045,Tornitura,A20,RIS1,2.0,80,40.0,40034,ART0005934,13320.0,196.07
143,ART0000227,ODP18-03045,Fresatura,A30,RIS11,4.67,60,41.0,40034,ART0005934,13320.0,196.07
144,ART0000227,ODP18-03741,Fresatura,A30,RIS9,3.5,50,0.0,40758,ART0006124,15120.0,128.19
145,ART0000227,ODP18-03741,Fresatura,A30,RIS11,9.5,60,0.0,40758,ART0006124,15120.0,128.19
146,ART0000227,ODP18-03741,Fresatura,A30,RIS9,2.5,50,0.0,40758,ART0006124,15120.0,128.19
147,ART0000227,ODP18-03741,Fresatura,A30,RIS1,4.0,80,0.0,40758,ART0006124,15120.0,128.19
148,ART0000227,ODP18-03741,Fresatura,A30,RIS11,4.5,60,0.0,40758,ART0006124,15120.0,128.19
149,ART0000227,ODP18-03741,Controllo qualità,CQ,RIS16,0.0,15,40.0,40758,ART0006124,15120.0,128.19
