,NrMovimento,Budget/cons,CodiceMP,NrArticolo,NrDocumento,QuantityMPImpiegata,ImportoCostoTOTALE
80,22309,BUDGET,ART0005161,ART0002132,ODP16-17333,27.0,3.89
81,22310,BUDGET,ART0005161,ART0002144,ODP16-17333,27.0,3.89
82,22311,BUDGET,ART0005231,ART0002145,ODP16-17333,40.0,8.82
83,22312,BUDGET,ART0005232,ART0002511,ODP16-17333,26.0,2.69
84,22389,BUDGET,ART0005159,ART0002012,ODP16-17338,44.0,24.54
85,22390,BUDGET,ART0005234,ART0002274,ODP16-17338,240.0,99.55
86,22392,BUDGET,ART0005235,ART0002997,ODP16-17338,2.0,190.0
87,22393,BUDGET,ART0005236,ART0003197,ODP16-17338,3.0,36.0
88,22400,BUDGET,ART0005239,ART0000308,ODP16-16945,80.0,12.4
89,22402,BUDGET,ART0005241,ART0003824,ODP16-14469,946.0,4.24
90,22416,BUDGET,ART0005185,ART0002102,ODP16-16942,1092.0,11.5
91,22417,BUDGET,ART0001074,ART0002366,ODP16-16942,140.0,24.04
92,22418,BUDGET,ART0005246,ART0002740,ODP16-16942,2800.0,80.36
93,22419,BUDGET,ART0005247,ART0001228,ODP16-17337,235.0,0.56
94,22420,BUDGET,ART0005248,ART0001238,ODP16-17337,360.0,3.6
95,22422,BUDGET,ART0005232,ART0002753,ODP16-17337,90.0,9.3
96,22435,BUDGET,ART0005250,ART0005136,ODP17-01034,4.0,0.0
97,22436,BUDGET,ART0005186,ART0005136,ODP17-01034,280.0,7.73
98,22492,BUDGET,ART0005263,ART0001926,ODP16-14758,1020.0,128.53
99,22493,BUDGET,ART0005227,ART0001817,ODP16-14758,975.0,141.01
100,22517,BUDGET,ART0005176,ART0005136,ODP17-01203,1.0,0.0
101,22592,BUDGET,ART0003958,ART0004099,ODP17-00171,1.0,236.23
102,22593,BUDGET,ART0004160,ART0004099,ODP17-00171,1.0,8.0
103,22594,BUDGET,ART0004015,ART0004099,ODP17-00171,1.0,57.89
104,22595,BUDGET,ART0004168,ART0004099,ODP17-00171,1.0,0.0
105,22596,BUDGET,ART0005251,ART0004099,ODP17-00171,1.0,0.0
106,22597,BUDGET,ART0004161,ART0004099,ODP17-00171,1.0,12.88
107,22598,BUDGET,ART0004159,ART0004099,ODP17-00171,1.0,0.0
108,22599,BUDGET,ART0004198,ART0004099,ODP17-00171,1.0,0.0
109,22600,BUDGET,ART0005252,ART0004099,ODP17-00171,1.0,0.0
110,22601,BUDGET,ART0005253,ART0004099,ODP17-00171,2.0,0.0
111,22602,BUDGET,ART0005272,ART0004099,ODP17-00171,1.0,0.0
112,22603,BUDGET,ART0005256,ART0004099,ODP17-00171,2.0,0.0
113,22604,BUDGET,ART0005255,ART0004099,ODP17-00171,2.0,0.0
114,22605,BUDGET,ART0004154,ART0004099,ODP17-00171,2.0,0.0
115,22606,BUDGET,ART0005257,ART0004099,ODP17-00171,1.0,0.0
116,22607,BUDGET,ART0005258,ART0004099,ODP17-00171,1.0,0.0
117,22608,BUDGET,ART0004147,ART0004099,ODP17-00171,1.0,13.8
118,22609,BUDGET,ART0004148,ART0004099,ODP17-00171,1.0,10.12
119,22610,BUDGET,ART0004149,ART0004099,ODP17-00171,1.0,5.38
120,22611,BUDGET,ART0004150,ART0004099,ODP17-00171,1.0,0.0
121,22612,BUDGET,ART0004151,ART0004099,ODP17-00171,1.0,2.67
122,22613,BUDGET,ART0004152,ART0004099,ODP17-00171,1.0,11.83
123,22614,BUDGET,ART0004153,ART0004099,ODP17-00171,1.0,13.91
124,22615,BUDGET,ART0005259,ART0004099,ODP17-00171,1.0,2.0
125,22616,BUDGET,ART0004155,ART0004099,ODP17-00171,1.0,1.35
126,22617,BUDGET,ART0004156,ART0004099,ODP17-00171,1.0,4.15
127,22645,BUDGET,ART0005260,ART0003935,ODP16-16479,110.0,50.51
128,22676,BUDGET,ART0004147,ART0004146,ODP16-13864,31.0,418.8
129,22677,BUDGET,ART0004148,ART0004146,ODP16-13864,31.0,195.12
130,22678,BUDGET,ART0004149,ART0004146,ODP16-13864,31.0,161.44
131,22679,BUDGET,ART0004150,ART0004146,ODP16-13864,31.0,0.0
132,22680,BUDGET,ART0004151,ART0004146,ODP16-13864,31.0,82.63
133,22681,BUDGET,ART0004152,ART0004146,ODP16-13864,31.0,366.68
134,22682,BUDGET,ART0004153,ART0004146,ODP16-13864,31.0,333.01
135,22683,BUDGET,ART0005259,ART0004146,ODP16-13864,31.0,62.0
136,22684,BUDGET,ART0004155,ART0004146,ODP16-13864,31.0,41.85
137,22685,BUDGET,ART0004156,ART0004146,ODP16-13864,31.0,128.69
138,22686,BUDGET,ART0004154,ART0004146,ODP16-13864,31.0,0.7
139,22807,BUDGET,ART0005277,ART0001500,ODP17-00272,12.0,9.57
140,22810,BUDGET,ART0005232,ART0002273,ODP17-00272,48.0,4.96
141,22812,BUDGET,ART0005279,ART0002996,ODP17-00272,560.0,51.76
142,22813,BUDGET,ART0001924,ART0000805,ODP17-00975,1.0,239.85
143,22814,BUDGET,ART0001814,ART0000805,ODP17-00975,1.0,83.08
144,22815,BUDGET,ART0005280,ART0000805,ODP17-00975,1.0,8.75
145,22816,BUDGET,ART0005281,ART0000805,ODP17-00975,2.0,7.45
146,22817,BUDGET,ART0003832,ART0000805,ODP17-00975,3.0,7.5
147,22818,BUDGET,ART0005282,ART0000805,ODP17-00975,1.0,1.32
148,22819,BUDGET,ART0005261,ART0000805,ODP17-00975,1.0,0.0
149,22820,BUDGET,ART0005145,ART0000805,ODP17-00975,1.0,0.0
150,22821,BUDGET,ART0001921,ART0000752,ODP16-17117,1.0,115.79
151,22822,BUDGET,ART0001811,ART0000752,ODP16-17117,1.0,94.22
152,22823,BUDGET,ART0001409,ART0000752,ODP16-17117,1.0,6.17
153,22824,BUDGET,ART0005242,ART0000752,ODP16-17117,2.0,2.56
154,22825,BUDGET,ART0005283,ART0000752,ODP16-17117,1.0,0.09
155,22826,BUDGET,ART0005284,ART0000752,ODP16-17117,1.0,0.0
156,22827,BUDGET,ART0005150,ART0000752,ODP16-17117,1.0,0.0
157,22828,BUDGET,ART0005285,ART0001811,ODP16-17117,651.0,109.57
158,22829,BUDGET,ART0005286,ART0000630,ODP16-16561,2460.0,70.85
159,22830,BUDGET,ART0005287,ART0000644,ODP16-16561,2646.0,79.64
160,22831,BUDGET,ART0005215,ART0000645,ODP16-16561,1495.0,209.9
161,22834,BUDGET,ART0005289,ART0000312,ODP16-15706,44.0,88.0
162,22836,BUDGET,ART0005290,ART0000128,ODP16-15233,11.0,66.0
163,23030,BUDGET,ART0001766,ART0000825,ODP17-00323,3.0,303.92
164,23031,BUDGET,ART0001920,ART0000825,ODP17-00323,3.0,594.54
165,23032,BUDGET,ART0003832,ART0000825,ODP17-00323,9.0,22.5
166,23038,BUDGET,ART0005148,ART0001766,ODP17-00323,640.0,69.12
167,23039,BUDGET,ART0005154,ART0001920,ODP17-00323,705.0,38.54
168,23059,BUDGET,ART0005296,ART0001593,ODP17-00976,260.0,0.1
169,23064,BUDGET,ART0005299,ART0003160,ODP17-00976,125.0,5.04
170,23065,BUDGET,ART0001897,ART0000762,ODP17-01090,10.0,1085.87
171,23066,BUDGET,ART0001785,ART0000762,ODP17-01090,10.0,402.03
172,23067,BUDGET,ART0005149,ART0000762,ODP17-01090,10.0,0.0
173,23068,BUDGET,ART0005140,ART0000762,ODP17-01090,30.0,45.0
174,23069,BUDGET,ART0005150,ART0000762,ODP17-01090,10.0,0.0
175,23070,BUDGET,ART0005151,ART0000762,ODP17-01090,10.0,1.47
176,23071,BUDGET,ART0001895,ART0000782,ODP17-01274,3.0,345.96
177,23072,BUDGET,ART0001783,ART0000782,ODP17-01274,3.0,171.21
178,23073,BUDGET,ART0001391,ART0000782,ODP17-01274,3.0,8.28
179,23074,BUDGET,ART0001387,ART0000782,ODP17-01274,3.0,3.75
180,23075,BUDGET,ART0003831,ART0000782,ODP17-01274,6.0,15.0
181,23076,BUDGET,ART0005139,ART0000782,ODP17-01274,3.0,0.97
182,23077,BUDGET,ART0002490,ART0000782,ODP17-01274,3.0,53.65
183,23078,BUDGET,ART0005300,ART0000782,ODP17-01274,12.0,0.32
184,23101,BUDGET,ART0005311,ART0002385,ODP17-00322,3125.0,244.79
185,23102,BUDGET,ART0005160,ART0002513,ODP17-00855,180.0,39.45
186,23137,BUDGET,ART0005323,ART0002793,ODP17-00856,20.0,196.0
187,23151,BUDGET,ART0001897,ART0000762,ODP16-17384,15.0,1537.73
188,23152,BUDGET,ART0001785,ART0000762,ODP16-17384,15.0,715.55
189,23153,BUDGET,ART0005149,ART0000762,ODP16-17384,15.0,0.0
190,23154,BUDGET,ART0005140,ART0000762,ODP16-17384,45.0,67.5
191,23155,BUDGET,ART0005150,ART0000762,ODP16-17384,15.0,0.0
192,23156,BUDGET,ART0005151,ART0000762,ODP16-17384,15.0,2.21
193,23157,BUDGET,ART0005154,ART0001897,ODP16-17384,2175.0,87.73
194,23158,BUDGET,ART0005148,ART0001785,ODP16-17384,1280.0,138.25
195,23159,BUDGET,ART0005324,ART0002866,ODP17-01501,135.0,48.96
196,23213,BUDGET,ART0001886,ART0000848,ODP16-17386,15.0,1337.5
197,23214,BUDGET,ART0001775,ART0000848,ODP16-17386,15.0,711.41
198,23215,BUDGET,ART0001403,ART0000848,ODP16-17386,15.0,62.5
199,23216,BUDGET,ART0005222,ART0000848,ODP16-17386,45.0,95.25
200,23217,BUDGET,ART0005332,ART0000848,ODP16-17386,30.0,118.5
201,23218,BUDGET,ART0005283,ART0000848,ODP16-17386,15.0,1.32
202,23219,BUDGET,ART0005333,ART0001886,ODP16-17386,2925.0,0.0
203,23220,BUDGET,ART0005334,ART0001775,ODP16-17386,2550.0,185.31
204,23285,BUDGET,ART0005185,ART0003780,ODP17-00973,4536.0,47.78
205,23289,BUDGET,ART0005154,ART0003610,ODP17-00973,362.0,8.81
206,23290,BUDGET,ART0005335,ART0003610,ODP17-00973,8.0,1.01
207,23291,BUDGET,ART0005336,ART0003610,ODP17-00973,8.0,6.4
208,23375,BUDGET,ART0001866,ART0000795,ODP17-01092,20.0,2708.72
209,23376,BUDGET,ART0001759,ART0000795,ODP17-01092,20.0,675.17
210,23377,BUDGET,ART0005137,ART0000795,ODP17-01092,20.0,0.0
211,23378,BUDGET,ART0005152,ART0000795,ODP17-01092,20.0,0.0
212,23379,BUDGET,ART0003832,ART0000795,ODP17-01092,40.0,100.0
213,23380,BUDGET,ART0005153,ART0000795,ODP17-01092,20.0,7.28
214,23381,BUDGET,ART0005160,ART0001866,ODP17-01092,6800.0,1467.44
215,23382,BUDGET,ART0005227,ART0001759,ODP17-01092,3000.0,437.84
216,23383,BUDGET,ART0005339,ART0000131,ODP16-16476,1470.0,26.22
217,23384,BUDGET,ART0005340,ART0001249,ODP17-01401,530.0,5.71
218,23386,BUDGET,ART0005162,ART0002010,ODP17-01401,54.0,6.09
219,23387,BUDGET,ART0005341,ART0002267,ODP17-01401,130.0,4.16
220,23388,BUDGET,ART0005342,ART0003135,ODP17-01401,4.0,108.0
221,23522,BUDGET,ART0005232,ART0002139,ODP17-01403,53.0,5.48
222,23523,BUDGET,ART0005232,ART0002140,ODP17-01403,53.0,5.48
223,23524,BUDGET,ART0005279,ART0002895,ODP17-01403,280.0,25.88
224,23525,BUDGET,ART0005279,ART0002896,ODP17-01403,280.0,25.88
225,23548,BUDGET,ART0005348,ART0000690,ODP17-01508,450.0,11.22
226,23600,BUDGET,ART0005148,ART0004202,ODP17-01566,25.0,2.7
227,23720,BUDGET,ART0005351,ART0002882,ODP17-01760,50.0,8.14
228,23721,BUDGET,ART0001877,ART0000756,ODP17-01269,5.0,643.04
229,23722,BUDGET,ART0001765,ART0000756,ODP17-01269,5.0,301.49
230,23723,BUDGET,ART0001429,ART0000756,ODP17-01269,10.0,39.29
231,23724,BUDGET,ART0005140,ART0000756,ODP17-01269,15.0,22.5
232,23725,BUDGET,ART0005141,ART0000756,ODP17-01269,5.0,0.98
233,23726,BUDGET,ART0005165,ART0001765,ODP17-01269,330.0,161.79
234,23729,BUDGET,ART0005149,ART0000765,ODP17-01510,1.0,0.0
235,23730,BUDGET,ART0005150,ART0000765,ODP17-01510,1.0,0.0
236,23731,BUDGET,ART0005352,ART0000765,ODP17-01510,1.0,186.0
237,23732,BUDGET,ART0005353,ART0000765,ODP17-01510,1.0,41.7
238,23733,BUDGET,ART0005140,ART0000765,ODP17-01510,3.0,4.5
239,23734,BUDGET,ART0005151,ART0000765,ODP17-01510,1.0,0.15
240,23735,BUDGET,ART0005354,ART0002740,ODP17-01511,2800.0,78.44
241,23742,BUDGET,ART0005356,ART0001628,ODP17-01517,1950.0,4.23
242,23748,BUDGET,ART0005357,ART0001659,ODP17-01517,10800.0,22.44
243,23833,BUDGET,ART0005286,ART0000630,ODP17-00857,1743.0,50.56
244,23834,BUDGET,ART0005209,ART0000625,ODP17-01693,1225.0,161.18
245,23835,BUDGET,ART0005373,ART0000627,ODP17-01693,2500.0,117.52
246,23836,BUDGET,ART0005211,ART0000635,ODP17-01693,10.0,30.0
247,23837,BUDGET,ART0005215,ART0000645,ODP17-01693,1495.0,209.89
248,23840,BUDGET,ART0005374,ART0004385,ODP17-01506,41.0,221.6
249,23845,BUDGET,ART0005160,ART0000125,ODP17-00418,45.0,9.62
250,23847,BUDGET,ART0005377,ART0000313,ODP17-00418,7.0,74.4
251,24147,BUDGET,ART0005409,ART0002015,ODP17-01405,12.0,4.07
252,24148,BUDGET,ART0005232,ART0002070,ODP17-01405,25.0,2.58
253,24149,BUDGET,ART0001874,ART0000757,ODP17-01406,1.0,282.51
254,24150,BUDGET,ART0001762,ART0000757,ODP17-01406,1.0,205.97
255,24151,BUDGET,ART0001982,ART0000757,ODP17-01406,1.0,2.0
256,24152,BUDGET,ART0005149,ART0000757,ODP17-01406,1.0,0.0
257,24153,BUDGET,ART0005225,ART0000757,ODP17-01406,1.0,0.0
258,24154,BUDGET,ART0005226,ART0000757,ODP17-01406,1.0,0.2
259,24155,BUDGET,ART0005140,ART0000757,ODP17-01406,4.0,6.0
260,24156,BUDGET,ART0005410,ART0001874,ODP17-01406,135.0,16.51
261,24157,BUDGET,ART0005168,ART0001762,ODP17-01406,125.0,12.27
262,24160,BUDGET,ART0001895,ART0000782,ODP17-01509,5.0,569.32
263,24161,BUDGET,ART0001783,ART0000782,ODP17-01509,5.0,340.98
264,24162,BUDGET,ART0001391,ART0000782,ODP17-01509,5.0,13.8
265,24163,BUDGET,ART0001387,ART0000782,ODP17-01509,5.0,6.25
266,24164,BUDGET,ART0003831,ART0000782,ODP17-01509,10.0,25.0
267,24165,BUDGET,ART0005139,ART0000782,ODP17-01509,5.0,1.61
268,24166,BUDGET,ART0002490,ART0000782,ODP17-01509,5.0,89.42
269,24167,BUDGET,ART0005300,ART0000782,ODP17-01509,20.0,0.53
270,24168,BUDGET,ART0005249,ART0001895,ODP17-01509,510.0,0.0
271,24169,BUDGET,ART0005164,ART0001783,ODP17-01509,330.0,28.86
272,24170,BUDGET,ART0001921,ART0000752,ODP17-01273,6.0,620.28
273,24171,BUDGET,ART0001811,ART0000752,ODP17-01273,6.0,565.35
274,24172,BUDGET,ART0001409,ART0000752,ODP17-01273,6.0,37.0
275,24173,BUDGET,ART0005242,ART0000752,ODP17-01273,12.0,15.36
276,24174,BUDGET,ART0005283,ART0000752,ODP17-01273,6.0,0.53
277,24175,BUDGET,ART0005284,ART0000752,ODP17-01273,6.0,0.0
278,24176,BUDGET,ART0005150,ART0000752,ODP17-01273,6.0,0.0
279,24177,BUDGET,ART0005171,ART0001921,ODP17-01273,1375.0,112.68
280,24248,BUDGET,ART0001923,ART0000804,ODP17-01276,3.0,834.46
281,24249,BUDGET,ART0001813,ART0000804,ODP17-01276,3.0,174.83
282,24250,BUDGET,ART0001989,ART0000804,ODP17-01276,3.0,48.35
283,24251,BUDGET,ART0005261,ART0000804,ODP17-01276,3.0,0.0
284,24252,BUDGET,ART0005262,ART0000804,ODP17-01276,3.0,0.0
285,24253,BUDGET,ART0005412,ART0000804,ODP17-01276,3.0,1.45
286,24254,BUDGET,ART0003832,ART0000804,ODP17-01276,6.0,15.0
287,24274,BUDGET,ART0001082,ART0005091,ODP17-01515,152.0,3.03
288,24275,BUDGET,ART0005286,ART0004941,ODP17-01515,1800.0,55.68
289,24276,BUDGET,ART0005416,ART0004942,ODP17-01515,224.0,17.48
290,24277,BUDGET,ART0005233,ART0004944,ODP17-01515,112.0,1.0
291,24278,BUDGET,ART0005417,ART0004946,ODP17-01515,1216.0,15.81
292,24279,BUDGET,ART0005418,ART0004947,ODP17-01515,384.0,5.24
293,24314,BUDGET,ART0005423,ART0004175,ODP16-16946,40.0,74.67
294,24315,BUDGET,ART0003942,ART0004084,ODP17-01093,1.0,599.25
295,24316,BUDGET,ART0004176,ART0004084,ODP17-01093,1.0,0.0
296,24317,BUDGET,ART0004157,ART0004084,ODP17-01093,1.0,18.0
297,24318,BUDGET,ART0004168,ART0004084,ODP17-01093,1.0,0.0
298,24319,BUDGET,ART0004174,ART0004084,ODP17-01093,1.0,15.72
299,24320,BUDGET,ART0005251,ART0004084,ODP17-01093,1.0,0.0
300,24321,BUDGET,ART0004158,ART0004084,ODP17-01093,1.0,8.93
301,24322,BUDGET,ART0004159,ART0004084,ODP17-01093,1.0,0.0
302,24323,BUDGET,ART0004198,ART0004084,ODP17-01093,1.0,0.0
303,24324,BUDGET,ART0005252,ART0004084,ODP17-01093,1.0,0.0
304,24325,BUDGET,ART0005253,ART0004084,ODP17-01093,2.0,0.0
305,24326,BUDGET,ART0004196,ART0004084,ODP17-01093,1.0,0.0
306,24327,BUDGET,ART0005256,ART0004084,ODP17-01093,1.0,0.0
307,24328,BUDGET,ART0005255,ART0004084,ODP17-01093,1.0,0.0
308,24329,BUDGET,ART0005424,ART0004084,ODP17-01093,2.0,0.0
309,24330,BUDGET,ART0004147,ART0004084,ODP17-01093,1.0,13.3
310,24331,BUDGET,ART0004148,ART0004084,ODP17-01093,1.0,5.56
311,24332,BUDGET,ART0004149,ART0004084,ODP17-01093,1.0,5.38
312,24333,BUDGET,ART0004150,ART0004084,ODP17-01093,1.0,0.0
313,24334,BUDGET,ART0004151,ART0004084,ODP17-01093,1.0,2.67
314,24335,BUDGET,ART0004152,ART0004084,ODP17-01093,1.0,11.83
315,24336,BUDGET,ART0004153,ART0004084,ODP17-01093,1.0,13.91
316,24337,BUDGET,ART0005259,ART0004084,ODP17-01093,1.0,2.0
317,24338,BUDGET,ART0004155,ART0004084,ODP17-01093,1.0,1.35
318,24339,BUDGET,ART0004156,ART0004084,ODP17-01093,1.0,4.15
319,24431,BUDGET,ART0005427,ART0003268,ODP17-02265,235.0,0.96
320,24432,BUDGET,ART0001866,ART0000795,ODP17-02384,10.0,1528.88
321,24433,BUDGET,ART0001759,ART0000795,ODP17-02384,10.0,337.59
322,24434,BUDGET,ART0005137,ART0000795,ODP17-02384,10.0,0.0
323,24435,BUDGET,ART0005152,ART0000795,ODP17-02384,10.0,0.0
324,24436,BUDGET,ART0003832,ART0000795,ODP17-02384,20.0,50.0
325,24437,BUDGET,ART0005153,ART0000795,ODP17-02384,10.0,3.64
326,24438,BUDGET,ART0001886,ART0000848,ODP17-01410,15.0,1270.84
327,24439,BUDGET,ART0001775,ART0000848,ODP17-01410,15.0,714.86
328,24440,BUDGET,ART0001403,ART0000848,ODP17-01410,15.0,75.0
329,24441,BUDGET,ART0005222,ART0000848,ODP17-01410,45.0,90.0
330,24442,BUDGET,ART0005332,ART0000848,ODP17-01410,30.0,39.5
331,24443,BUDGET,ART0005283,ART0000848,ODP17-01410,15.0,1.32
332,24444,BUDGET,ART0001082,ART0001886,ODP17-01410,2925.0,58.34
333,24447,BUDGET,ART0005176,ART0005136,ODP17-02965,3.0,0.0
334,24452,BUDGET,ART0005428,ART0000697,ODP17-02601,160.0,1.68
335,24492,BUDGET,ART0001923,ART0000804,ODP17-01277,1.0,258.89
336,24493,BUDGET,ART0001813,ART0000804,ODP17-01277,1.0,63.84
337,24494,BUDGET,ART0001989,ART0000804,ODP17-01277,1.0,16.12
338,24495,BUDGET,ART0005261,ART0000804,ODP17-01277,1.0,0.0
339,24496,BUDGET,ART0005262,ART0000804,ODP17-01277,1.0,0.0
340,24497,BUDGET,ART0005412,ART0000804,ODP17-01277,1.0,0.49
341,24498,BUDGET,ART0003832,ART0000804,ODP17-01277,2.0,5.0
342,24499,BUDGET,ART0005142,ART0001923,ODP17-01277,483.0,29.05
343,24500,BUDGET,ART0005429,ART0001923,ODP17-01277,4.0,84.0
344,24501,BUDGET,ART0005227,ART0001813,ODP17-01277,378.0,55.57
345,24502,BUDGET,ART0001898,ART0000783,ODP17-01982,4.0,649.79
346,24503,BUDGET,ART0001786,ART0000783,ODP17-01982,4.0,186.33
347,24504,BUDGET,ART0001391,ART0000783,ODP17-01982,4.0,11.04
348,24505,BUDGET,ART0001387,ART0000783,ODP17-01982,4.0,5.0
349,24506,BUDGET,ART0005139,ART0000783,ODP17-01982,4.0,1.29
350,24507,BUDGET,ART0003831,ART0000783,ODP17-01982,12.0,30.0
351,24508,BUDGET,ART0002504,ART0000783,ODP17-01982,4.0,155.38
352,24509,BUDGET,ART0005161,ART0001898,ODP17-01982,920.0,139.08
