,NrMovimento,budget/cons,NrArticolo,NrOrigine,Quantity,ImportoVenditaInValutaLocaleTOTALEVENDITA
1249,36760,Consuntivo,ART0001575,C00140,8,32.0
1250,36761,Consuntivo,ART0001575,C00140,4,16.0
1251,36762,Consuntivo,ART0002739,C00140,5,175.0
1252,36766,Consuntivo,ART0002598,C00140,1,90.0
1253,36767,Consuntivo,ART0002886,C00140,1,135.0
1254,36769,Consuntivo,ART0002598,C00140,1,90.0
1255,36770,Consuntivo,ART0002886,C00140,1,135.0
1256,36793,Consuntivo,ART0005136,C00117,3,150.0
1257,36805,Consuntivo,ART0000131,C00026,2,66.0
1258,36882,Consuntivo,ART0002109,C00140,5,20.0
1259,36884,Consuntivo,ART0002866,C00140,5,385.0
1260,36889,Consuntivo,ART0000848,C00140,15,2700.0
1261,36890,Consuntivo,ART0000762,C00140,10,0.0
1262,36898,Consuntivo,ART0000762,C00140,10,0.0
1263,36984,Consuntivo,ART0000853,C00140,3,966.0
1264,36989,Consuntivo,ART0001185,C00140,5,225.0
1265,36996,Consuntivo,ART0000555,C00004,2,220.0
1266,36999,Consuntivo,ART0004403,C00004,6,96.0
1267,37000,Consuntivo,ART0004403,C00004,14,224.0
1268,37035,Consuntivo,ART0005136,C00140,1,35.0
1269,37036,Consuntivo,ART0005136,C00140,1,100.0
1270,37093,Consuntivo,ART0004941,C00456,16,1164.0
1271,37094,Consuntivo,ART0004942,C00456,16,931.2
1272,37096,Consuntivo,ART0004944,C00456,16,54.32
1273,37098,Consuntivo,ART0004946,C00456,20,1008.8
1274,37099,Consuntivo,ART0004947,C00456,20,426.8
1275,37129,Consuntivo,ART0005091,C00456,4,93.12
1276,37130,Consuntivo,ART0005136,C00456,1,242.5
1277,37159,Consuntivo,ART0005136,C00094,1,15.0
1278,37257,Consuntivo,ART0005030,C00026,1,760.0
1279,37267,Consuntivo,ART0000125,C00026,1,270.0
1280,37268,Consuntivo,ART0003824,C00026,10,110.0
1281,37269,Consuntivo,ART0000128,C00026,5,140.0
1282,37270,Consuntivo,ART0000312,C00026,20,320.0
1283,37274,Consuntivo,ART0005136,C00015,1,3.0
1284,37289,Consuntivo,ART0005109,C00471,2,56.0
1285,37290,Consuntivo,ART0005110,C00471,2,116.0
1286,37291,Consuntivo,ART0005111,C00471,2,70.0
1287,37292,Consuntivo,ART0005112,C00471,2,90.0
1288,37296,Consuntivo,ART0000778,C00140,1,317.4
1289,37298,Consuntivo,ART0001427,C00140,12,17.64
1290,37300,Consuntivo,ART0001588,C00140,6,49.68
1291,37301,Consuntivo,ART0002112,C00140,6,30.36
1292,37304,Consuntivo,ART0000752,C00140,6,2736.0
1293,37305,Consuntivo,ART0000762,C00140,10,3580.0
1294,37309,Consuntivo,ART0000795,C00140,8,1880.0
1295,37316,Consuntivo,ART0001575,C00140,16,64.0
1296,37317,Consuntivo,ART0001575,C00140,4,16.0
1297,37378,Consuntivo,ART0004362,C00004,10,160.0
1298,37395,Consuntivo,ART0000847,C00140,3,810.0
1299,37397,Consuntivo,ART0005136,C00140,1,100.0
1300,37399,Consuntivo,ART0002210,C00140,1,24.84
1301,37400,Consuntivo,ART0002598,C00140,1,90.0
1302,37401,Consuntivo,ART0002886,C00140,1,135.0
1303,37404,Consuntivo,ART0003164,C00140,1,130.0
1304,37407,Consuntivo,ART0005136,C00140,1,95.0
1305,37419,Consuntivo,ART0000645,C00004,32,960.0
1306,37420,Consuntivo,ART0000645,C00004,20,600.0
1307,37445,Consuntivo,ART0000853,C00140,4,1288.0
1308,37449,Consuntivo,ART0001427,C00140,4,5.88
1309,37609,Consuntivo,ART0000853,C00140,13,4186.0
1310,37614,Consuntivo,ART0002366,C00140,4,294.4
1311,37617,Consuntivo,ART0001218,C00140,1,8.28
1312,37715,Consuntivo,ART0000630,C00004,32,960.0
1313,37716,Consuntivo,ART0000644,C00004,32,1440.0
1314,37719,Consuntivo,ART0000641,C00004,5,240.0
1315,37720,Consuntivo,ART0000642,C00004,5,220.0
1316,37758,Consuntivo,ART0000795,C00140,1,235.0
1317,37759,Consuntivo,ART0000786,C00140,1,355.6
1318,37762,Consuntivo,ART0001261,C00140,1,12.0
1319,37763,Consuntivo,ART0001263,C00140,1,13.0
1320,37764,Consuntivo,ART0001587,C00140,3,31.74
