,NrMovimento,budget/cons,NrArticolo,NrOrigine,Quantity,ImportoVenditaInValutaLocaleTOTALEVENDITA
1600,42222,Consuntivo,ART0001149,C00140,5,96.6
1601,42227,Consuntivo,ART0001164,C00140,3,414.0
1602,42242,Consuntivo,ART0002949,C00140,1,270.0
1603,42244,Consuntivo,ART0002012,C00140,1,84.0
1604,42245,Consuntivo,ART0002274,C00140,1,190.0
1605,42247,Consuntivo,ART0003197,C00140,1,26.0
1606,42249,Consuntivo,ART0001214,C00140,1,190.0
1607,42250,Consuntivo,ART0002132,C00140,1,68.0
1608,42251,Consuntivo,ART0002144,C00140,1,68.0
1609,42252,Consuntivo,ART0002238,C00140,2,70.0
1610,42322,Consuntivo,ART0005136,C00015,20,96.0
1611,42333,Consuntivo,ART0000845,C00140,1,1150.0
1612,42335,Consuntivo,ART0000782,C00140,1,295.0
1613,42336,Consuntivo,ART0002836,C00140,2,124.0
1614,42340,Consuntivo,ART0000853,C00140,5,1790.0
1615,42409,Consuntivo,ART0000849,C00140,2,735.0
1616,42427,Consuntivo,ART0000116,C00026,1,234.0
1617,42428,Consuntivo,ART0005028,C00026,1,350.0
1618,42429,Consuntivo,ART0003824,C00026,11,121.0
1619,42430,Consuntivo,ART0000129,C00026,3,435.0
1620,42431,Consuntivo,ART0000312,C00026,20,320.0
1621,42467,Consuntivo,ART0003609,C00094,8,736.0
1622,42468,Consuntivo,ART0003642,C00094,8,184.0
1623,42580,Consuntivo,ART0005136,C00127,3,0.0
1624,42581,Consuntivo,ART0005136,C00127,3,0.0
1625,42582,Consuntivo,ART0005136,C00117,3,37.52
1626,42663,Consuntivo,ART0005136,C00455,1,45.0
1627,42714,Consuntivo,ART0005029,C00026,1,590.0
1628,42774,Consuntivo,ART0000644,C00004,10,450.0
1629,42775,Consuntivo,ART0005136,C00004,10,160.0
1630,42777,Consuntivo,ART0005136,C00004,4,80.0
1631,42778,Consuntivo,ART0005136,C00004,4,80.0
1632,42785,Consuntivo,ART0001731,C00140,4,380.0
1633,42787,Consuntivo,ART0002424,C00140,6,84.0
1634,42788,Consuntivo,ART0001185,C00140,1,45.0
1635,42789,Consuntivo,ART0002109,C00140,1,4.0
1636,42791,Consuntivo,ART0002866,C00140,1,77.0
1637,42792,Consuntivo,ART0001185,C00140,1,45.0
1638,42793,Consuntivo,ART0002109,C00140,1,4.0
1639,42795,Consuntivo,ART0002866,C00140,1,77.0
1640,42923,Consuntivo,ART0001185,C00140,1,45.0
1641,42924,Consuntivo,ART0002109,C00140,1,4.0
1642,43103,Consuntivo,ART0005136,C00004,1,85.0
1643,43147,Consuntivo,ART0005136,C00004,5,200.0
1644,43182,Consuntivo,ART0000847,C00140,4,1080.0
1645,43183,Consuntivo,ART0000853,C00140,3,1074.0
1646,43184,Consuntivo,ART0000778,C00140,1,317.4
1647,43186,Consuntivo,ART0001294,C00140,1,12.0
1648,43190,Consuntivo,ART0003202,C00140,2,90.0
1649,43191,Consuntivo,ART0002513,C00140,4,144.0
1650,43192,Consuntivo,ART0002107,C00140,3,0.0
1651,43193,Consuntivo,ART0002107,C00140,3,0.0
1652,43194,Consuntivo,ART0002107,C00140,3,30.0
1653,43196,Consuntivo,ART0003189,C00140,4,80.0
1654,43200,Consuntivo,ART0001615,C00140,8,120.0
1655,43201,Consuntivo,ART0002133,C00140,2,360.0
1656,43205,Consuntivo,ART0002366,C00140,4,294.4
1657,43206,Consuntivo,ART0002793,C00140,20,760.0
1658,43207,Consuntivo,ART0003189,C00140,5,100.0
1659,43209,Consuntivo,ART0001500,C00140,1,48.0
1660,43210,Consuntivo,ART0002273,C00140,1,130.0
1661,43213,Consuntivo,ART0002018,C00140,1,180.0
1662,43214,Consuntivo,ART0002284,C00140,1,275.0
1663,43215,Consuntivo,ART0002836,C00140,19,1178.0
1664,43217,Consuntivo,ART0000782,C00140,1,295.0
1665,43219,Consuntivo,ART0002360,C00140,2,490.0
1666,43220,Consuntivo,ART0002360,C00140,2,490.0
1667,43222,Consuntivo,ART0001265,C00140,1,1350.0
1668,43223,Consuntivo,ART0001266,C00140,1,650.0
1669,43224,Consuntivo,ART0001515,C00140,1,287.0
1670,43225,Consuntivo,ART0001669,C00140,4,128.0
1671,43226,Consuntivo,ART0001670,C00140,4,108.0
1672,43227,Consuntivo,ART0002017,C00140,1,396.0
1673,43228,Consuntivo,ART0002019,C00140,1,120.0
1674,43232,Consuntivo,ART0002718,C00140,1,490.0
1675,43233,Consuntivo,ART0002719,C00140,1,490.0
1676,43235,Consuntivo,ART0003275,C00140,8,72.0
1677,43236,Consuntivo,ART0001162,C00140,1,390.0
1678,43239,Consuntivo,ART0001993,C00140,1,82.8
1679,43240,Consuntivo,ART0001994,C00140,9,342.0
1680,43241,Consuntivo,ART0002488,C00140,1,155.0
1681,43245,Consuntivo,ART0005136,C00140,1,400.0
1682,43247,Consuntivo,ART0005136,C00004,1,50.0
1683,43261,Consuntivo,ART0002996,C00140,1,265.0
1684,43262,Consuntivo,ART0002041,C00140,2,100.0
1685,43263,Consuntivo,ART0002859,C00140,2,366.0
1686,43264,Consuntivo,ART0002860,C00140,2,366.0
1687,43346,Consuntivo,ART0000697,C00004,3,210.0
1688,43347,Consuntivo,ART0000628,C00004,10,1500.0
1689,43348,Consuntivo,ART0000630,C00004,21,630.0
1690,43366,Consuntivo,ART0000758,C00140,3,880.8
1691,43367,Consuntivo,ART0002042,C00140,2,194.0
1692,43512,Consuntivo,ART0004675,C00473,4,52.0
1693,43515,Consuntivo,ART0004689,C00473,12,120.0
1694,43516,Consuntivo,ART0004656,C00473,5,55.0
1695,43519,Consuntivo,ART0004697,C00473,2,230.0
1696,43559,Consuntivo,ART0000116,C00026,3,702.0
1697,43560,Consuntivo,ART0000131,C00026,2,66.0
1698,43563,Consuntivo,ART0000323,C00026,5,300.0
1699,43589,Consuntivo,ART0005136,C00117,50,125.0
1700,43592,Consuntivo,ART0005136,C00004,1,140.0
1701,43601,Consuntivo,ART0000795,C00140,8,1880.0
1702,43603,Consuntivo,ART0000752,C00140,3,1368.0
1703,43609,Consuntivo,ART0002617,C00140,1,98.0
1704,43610,Consuntivo,ART0000853,C00140,6,2148.0
1705,43617,Consuntivo,ART0002370,C00140,1,69.92
1706,43657,Consuntivo,ART0001047,C00471,2,134.0
1707,43658,Consuntivo,ART0001047,C00471,1,67.0
1708,43659,Consuntivo,ART0001047,C00471,2,134.0
1709,43660,Consuntivo,ART0001047,C00471,1,67.0
1710,43661,Consuntivo,ART0001047,C00471,1,67.0
1711,43696,Consuntivo,ART0000748,C00140,30,2610.0
1712,43698,Consuntivo,ART0002866,C00140,5,385.0
1713,43699,Consuntivo,ART0002996,C00140,1,265.0
1714,43700,Consuntivo,ART0001575,C00140,20,80.0
1715,43702,Consuntivo,ART0002148,C00140,3,118.68
1716,43703,Consuntivo,ART0002739,C00140,5,175.0
1717,43704,Consuntivo,ART0000804,C00140,2,960.0
1718,43705,Consuntivo,ART0001520,C00140,10,250.0
1719,43708,Consuntivo,ART0005136,C00140,1,250.0
1720,43719,Consuntivo,ART0000779,C00140,2,984.0
1721,43721,Consuntivo,ART0000811,C00140,2,1580.0
1722,43722,Consuntivo,ART0000811,C00140,4,3160.0
1723,43834,Consuntivo,ART0005136,C00004,1,200.0
1724,43839,Consuntivo,ART0000690,C00004,7,525.0
1725,43840,Consuntivo,ART0000644,C00004,10,450.0
1726,43856,Consuntivo,ART0001185,C00140,4,180.0
1727,43872,Consuntivo,ART0003269,C00140,8,331.2
1728,43904,Consuntivo,ART0005136,C00004,1,450.0
1729,43928,Consuntivo,ART0005136,C00004,4,64.0
1730,43929,Consuntivo,ART0005136,C00004,4,64.0
1731,43957,Consuntivo,ART0002109,C00140,4,16.0
1732,43958,Consuntivo,ART0002836,C00140,3,186.0
1733,44102,Consuntivo,ART0005136,C00004,1,650.0
1734,44126,Consuntivo,ART0000851,C00140,15,2691.0
1735,44138,Consuntivo,ART0001046,C00471,2,130.0
1736,44139,Consuntivo,ART0001046,C00471,1,65.0
1737,44140,Consuntivo,ART0001046,C00471,2,130.0
1738,44141,Consuntivo,ART0001046,C00471,1,65.0
1739,44142,Consuntivo,ART0001046,C00471,1,65.0
1740,44310,Consuntivo,ART0003189,C00140,4,80.0
1741,44313,Consuntivo,ART0001433,C00140,4,20.0
1742,44315,Consuntivo,ART0002123,C00140,1,10.0
1743,44320,Consuntivo,ART0001149,C00140,5,96.6
1744,44321,Consuntivo,ART0002476,C00140,5,64.4
1745,44322,Consuntivo,ART0002102,C00140,4,116.0
1746,44327,Consuntivo,ART0000748,C00140,20,2000.0
1747,44328,Consuntivo,ART0000748,C00140,20,2000.0
1748,44359,Consuntivo,ART0002552,C00140,2,64.4
1749,44362,Consuntivo,ART0001590,C00140,3,14.1
1750,44363,Consuntivo,ART0001590,C00140,9,42.3
1751,44364,Consuntivo,ART0002530,C00140,3,132.0
1752,44365,Consuntivo,ART0002530,C00140,1,44.0
1753,44366,Consuntivo,ART0001264,C00140,1,12.0
1754,44374,Consuntivo,ART0002740,C00140,20,500.0
1755,44383,Consuntivo,ART0001590,C00140,6,28.2
1756,44384,Consuntivo,ART0002530,C00140,2,88.0
1757,44401,Consuntivo,ART0004410,C00004,1,61.0
1758,44402,Consuntivo,ART0005136,C00004,4,20.0
1759,44403,Consuntivo,ART0005136,C00004,4,20.0
1760,44404,Consuntivo,ART0005136,C00004,4,20.0
1761,44405,Consuntivo,ART0005136,C00004,4,20.0
1762,44406,Consuntivo,ART0005136,C00004,4,20.0
1763,44407,Consuntivo,ART0005136,C00004,4,20.0
1764,44411,Consuntivo,ART0000847,C00140,2,540.0
1765,44412,Consuntivo,ART0000756,C00140,5,1450.0
1766,44413,Consuntivo,ART0000782,C00140,1,295.0
1767,44414,Consuntivo,ART0000782,C00140,1,295.0
1768,44415,Consuntivo,ART0000782,C00140,1,295.0
1769,44416,Consuntivo,ART0000782,C00140,1,295.0
1770,44558,Consuntivo,ART0004386,C00004,18,126.0
1771,44560,Consuntivo,ART0000697,C00004,1,70.0
1772,44619,Consuntivo,ART0003277,C00140,7,294.0
1773,44620,Consuntivo,ART0000749,C00140,1,590.0
1774,44621,Consuntivo,ART0002079,C00140,12,110.4
1775,44622,Consuntivo,ART0000790,C00140,1,630.0
1776,44623,Consuntivo,ART0000853,C00140,3,1074.0
1777,44624,Consuntivo,ART0003277,C00140,2,84.0
1778,44677,Consuntivo,ART0005136,C00297,1,300.0
1779,44678,Consuntivo,ART0005136,C00297,1,300.0
1780,44679,Consuntivo,ART0004104,C00297,1,880.0
1781,44680,Consuntivo,ART0004104,C00297,2,1760.0
1782,44693,Consuntivo,ART0003824,C00026,10,110.0
1783,44699,Consuntivo,ART0005011,C00026,2,380.0
1784,44700,Consuntivo,ART0003824,C00026,10,110.0
1785,44710,Consuntivo,ART0000784,C00140,5,1700.0
1786,44711,Consuntivo,ART0000752,C00140,6,2736.0
1787,44712,Consuntivo,ART0000752,C00140,1,456.0
1788,44713,Consuntivo,ART0000752,C00140,1,456.0
1789,44816,Consuntivo,ART0005136,C00297,1,630.0
1790,44836,Consuntivo,ART0001272,C00140,2,250.0
1791,44838,Consuntivo,ART0001272,C00140,7,875.0
1792,44931,Consuntivo,ART0000847,C00140,1,270.0
1793,44932,Consuntivo,ART0000769,C00140,1,395.0
1794,44936,Consuntivo,ART0000690,C00004,2,150.0
1795,44937,Consuntivo,ART0002132,C00140,1,68.0
1796,44938,Consuntivo,ART0002144,C00140,1,68.0
1797,44939,Consuntivo,ART0002238,C00140,2,70.0
1798,44987,Consuntivo,ART0000877,C00001,3,714.0
1799,44988,Consuntivo,ART0000878,C00001,3,684.0
1800,44989,Consuntivo,ART0000879,C00001,3,234.0
1801,44990,Consuntivo,ART0000880,C00001,12,48.0
1802,44991,Consuntivo,ART0000881,C00001,3,294.0
1803,44992,Consuntivo,ART0000882,C00001,12,204.0
1804,44993,Consuntivo,ART0000883,C00001,3,141.0
1805,44995,Consuntivo,ART0000885,C00001,3,192.0
1806,44997,Consuntivo,ART0000887,C00001,2,36.0
1807,44998,Consuntivo,ART0000888,C00001,2,64.0
1808,44999,Consuntivo,ART0000889,C00001,4,368.0
1809,45000,Consuntivo,ART0000890,C00001,4,64.0
1810,45001,Consuntivo,ART0000891,C00001,8,536.0
1811,45003,Consuntivo,ART0000893,C00001,4,500.0
1812,45033,Consuntivo,ART0005136,C00004,1,105.0
1813,45034,Consuntivo,ART0005136,C00004,1,115.0
1814,45035,Consuntivo,ART0005136,C00004,1,95.0
1815,45036,Consuntivo,ART0005136,C00004,1,85.0
1816,45051,Consuntivo,ART0000226,C00026,6,1440.0
1817,45054,Consuntivo,ART0002502,C00140,7,196.0
1818,45055,Consuntivo,ART0000795,C00140,8,1880.0
1819,45056,Consuntivo,ART0000805,C00140,1,490.0
1820,45057,Consuntivo,ART0002451,C00140,1,271.4
1821,45140,Consuntivo,ART0005136,C00004,4,128.0
1822,45141,Consuntivo,ART0005136,C00004,4,128.0
1823,45142,Consuntivo,ART0005136,C00004,1,32.0
1824,45168,Consuntivo,ART0001214,C00140,1,280.0
1825,45192,Consuntivo,ART0005136,C00297,1,350.0
1826,45239,Consuntivo,ART0005136,C00015,40,22.0
1827,45240,Consuntivo,ART0005136,C00015,102,56.1
1828,45271,Consuntivo,ART0000811,C00140,4,3160.0
1829,45272,Consuntivo,ART0000811,C00140,1,790.0
1830,45337,Consuntivo,ART0004711,C00473,6,288.0
1831,45338,Consuntivo,ART0005136,C00094,2,172.0
1832,45351,Consuntivo,ART0005136,C00004,1,60.0
1833,45495,Consuntivo,ART0002411,C00140,4,260.0
1834,45503,Consuntivo,ART0000853,C00140,5,1790.0
1835,45504,Consuntivo,ART0000853,C00140,3,1074.0
1836,45505,Consuntivo,ART0000853,C00140,5,1790.0
1837,45506,Consuntivo,ART0000853,C00140,2,716.0
1838,45507,Consuntivo,ART0000853,C00140,3,1074.0
1839,45592,Consuntivo,ART0005136,C00353,10,260.0
1840,45597,Consuntivo,ART0005136,C00003,1,295.0
1841,45601,Consuntivo,ART0005136,C00140,1,370.0
1842,45607,Consuntivo,ART0000129,C00026,3,435.0
1843,45681,Consuntivo,ART0005136,C00297,1,350.0
1844,45682,Consuntivo,ART0005136,C00297,1,600.0
1845,45725,Consuntivo,ART0005136,C00004,10,190.0
1846,45726,Consuntivo,ART0005136,C00004,2,38.0
1847,45727,Consuntivo,ART0005136,C00004,9,171.0
1848,45728,Consuntivo,ART0005136,C00004,3,57.0
1849,45729,Consuntivo,ART0005136,C00004,2,38.0
1850,45730,Consuntivo,ART0005136,C00004,1,19.0
1851,45731,Consuntivo,ART0005136,C00004,2,38.0
1852,45732,Consuntivo,ART0005136,C00004,1,19.0
1853,45733,Consuntivo,ART0005136,C00004,1,19.0
1854,45734,Consuntivo,ART0005136,C00004,1,19.0
1855,45735,Consuntivo,ART0005136,C00004,1,19.0
1856,45736,Consuntivo,ART0005136,C00004,1,19.0
1857,45737,Consuntivo,ART0005136,C00004,1,19.0
1858,45738,Consuntivo,ART0005136,C00004,4,76.0
1859,45742,Consuntivo,ART0000811,C00140,1,790.0
1860,45744,Consuntivo,ART0002385,C00140,6,234.0
1861,45745,Consuntivo,ART0002366,C00140,4,294.4
1862,45750,Consuntivo,ART0001261,C00140,5,60.0
1863,45751,Consuntivo,ART0001263,C00140,5,65.0
1864,45769,Consuntivo,ART0001593,C00140,4,40.0
1865,45775,Consuntivo,ART0003160,C00140,1,95.0
1866,45785,Consuntivo,ART0002552,C00140,1,32.2
1867,45789,Consuntivo,ART0005034,C00471,1,35.0
1868,45790,Consuntivo,ART0005035,C00471,1,58.0
1869,45791,Consuntivo,ART0005036,C00471,6,228.0
1870,45792,Consuntivo,ART0005037,C00471,6,192.0
1871,45799,Consuntivo,ART0002740,C00140,20,500.0
1872,45802,Consuntivo,ART0000847,C00140,4,1080.0
1873,45803,Consuntivo,ART0000847,C00140,2,540.0
1874,45970,Consuntivo,ART0005136,C00015,2,100.0
1875,45971,Consuntivo,ART0005136,C00015,2,100.0
1876,46109,Consuntivo,ART0000783,C00140,2,581.44
1877,46110,Consuntivo,ART0000756,C00140,5,1450.0
1878,46111,Consuntivo,ART0000782,C00140,2,590.0
1879,46112,Consuntivo,ART0000782,C00140,1,295.0
1880,46113,Consuntivo,ART0000748,C00140,20,2000.0
1881,46117,Consuntivo,ART0001659,C00140,8,128.0
1882,46123,Consuntivo,ART0002173,C00140,1,65.0
1883,46127,Consuntivo,ART0003189,C00140,4,80.0
1884,46128,Consuntivo,ART0002502,C00140,7,196.0
1885,46129,Consuntivo,ART0002360,C00140,2,490.0
1886,46134,Consuntivo,ART0001612,C00140,8,80.96
1887,46158,Consuntivo,ART0003099,C00140,4,128.8
1888,46165,Consuntivo,ART0003099,C00140,2,64.4
1889,46169,Consuntivo,ART0001185,C00140,5,225.0
1890,46170,Consuntivo,ART0002109,C00140,5,20.0
1891,46197,Consuntivo,ART0002173,C00140,2,130.0
1892,46198,Consuntivo,ART0002173,C00140,1,65.0
1893,46212,Consuntivo,ART0004169,C00297,1,269.0
1894,46222,Consuntivo,ART0000848,C00140,15,2700.0
1895,46235,Consuntivo,ART0001095,C00471,1,0.0
1896,46237,Consuntivo,ART0001095,C00471,1,0.0
1897,46239,Consuntivo,ART0001095,C00471,1,70.0
1898,46279,Consuntivo,ART0001610,C00140,8,103.04
1899,46280,Consuntivo,ART0002132,C00140,2,136.0
1900,46281,Consuntivo,ART0002144,C00140,2,136.0
1901,46282,Consuntivo,ART0002238,C00140,2,70.0
1902,46284,Consuntivo,ART0001190,C00140,4,72.0
1903,46285,Consuntivo,ART0001190,C00140,2,36.0
1904,46286,Consuntivo,ART0001492,C00140,2,12.0
1905,46287,Consuntivo,ART0001492,C00140,1,6.0
1906,46289,Consuntivo,ART0005136,C00492,3,270.0
1907,46453,Consuntivo,ART0000642,C00004,5,220.0
1908,46520,Consuntivo,ART0001993,C00140,1,82.8
1909,46521,Consuntivo,ART0002452,C00140,2,540.0
1910,46524,Consuntivo,ART0001214,C00140,2,380.0
1911,46525,Consuntivo,ART0002968,C00140,2,260.0
1912,46526,Consuntivo,ART0002969,C00140,2,280.0
1913,46529,Consuntivo,ART0001208,C00140,2,520.0
1914,46548,Consuntivo,ART0004836,C00471,1,36.0
1915,46549,Consuntivo,ART0004836,C00471,8,288.0
1916,46550,Consuntivo,ART0001110,C00471,1,95.0
1917,46551,Consuntivo,ART0001110,C00471,2,190.0
1918,46552,Consuntivo,ART0001110,C00471,1,95.0
1919,46553,Consuntivo,ART0001110,C00471,1,95.0
1920,46554,Consuntivo,ART0001113,C00471,1,40.0
1921,46555,Consuntivo,ART0001113,C00471,2,80.0
1922,46556,Consuntivo,ART0001113,C00471,1,40.0
1923,46557,Consuntivo,ART0001113,C00471,1,40.0
1924,46558,Consuntivo,ART0001117,C00471,1,450.0
1925,46559,Consuntivo,ART0001117,C00471,2,900.0
1926,46560,Consuntivo,ART0001117,C00471,1,450.0
1927,46561,Consuntivo,ART0001117,C00471,1,450.0
1928,46564,Consuntivo,ART0005136,C00117,1,250.0
1929,46565,Consuntivo,ART0005136,C00117,1,85.0
1930,46572,Consuntivo,ART0005136,C00140,1,120.0
1931,46574,Consuntivo,ART0000853,C00140,3,1074.0
1932,46584,Consuntivo,ART0003132,C00140,2,38.0
1933,46585,Consuntivo,ART0003844,C00140,1,32.0
1934,46590,Consuntivo,ART0001219,C00140,2,206.08
1935,46592,Consuntivo,ART0000853,C00140,10,3220.0
1936,46595,Consuntivo,ART0005136,C00492,3,90.0
1937,46714,Consuntivo,ART0004659,C00473,4,112.0
1938,46716,Consuntivo,ART0004660,C00473,6,234.0
1939,46788,Consuntivo,ART0000795,C00140,8,1880.0
1940,46789,Consuntivo,ART0000795,C00140,8,1880.0
1941,46793,Consuntivo,ART0000456,C00026,10,160.0
1942,46795,Consuntivo,ART0000320,C00026,3,177.0
1943,46799,Consuntivo,ART0005136,C00478,1,55.0
1944,46807,Consuntivo,ART0005136,C00015,147,294.0
1945,46873,Consuntivo,ART0003269,C00140,16,662.4
1946,46877,Consuntivo,ART0002240,C00140,2,180.0
1947,46878,Consuntivo,ART0002555,C00140,2,170.0
1948,46879,Consuntivo,ART0002556,C00140,2,190.0
1949,46987,Consuntivo,ART0000779,C00140,1,492.0
1950,47002,Consuntivo,ART0000843,C00140,2,1360.0
1951,47128,Consuntivo,ART0002508,C00140,1,200.0
1952,47134,Consuntivo,ART0000848,C00140,15,2700.0
1953,47136,Consuntivo,ART0000851,C00140,15,2691.0
1954,47137,Consuntivo,ART0000795,C00140,8,1880.0
1955,47138,Consuntivo,ART0000748,C00140,20,1740.0
1956,47139,Consuntivo,ART0000748,C00140,40,3480.0
1957,47140,Consuntivo,ART0000748,C00140,20,1740.0
1958,47142,Consuntivo,ART0002552,C00140,2,64.4
1959,47149,Consuntivo,ART0001759,C00140,1,70.0
1960,47170,Consuntivo,ART0004363,C00004,2,64.0
1961,47175,Consuntivo,ART0005136,C00004,12,84.0
1962,47176,Consuntivo,ART0005136,C00004,4,28.0
1963,47200,Consuntivo,ART0000116,C00026,3,972.0
1964,47201,Consuntivo,ART0003824,C00026,10,110.0
1965,47240,Consuntivo,ART0005136,C00004,1,55.0
1966,47241,Consuntivo,ART0005136,C00004,1,55.0
1967,47320,Consuntivo,ART0005136,C00004,2,150.0
1968,47345,Consuntivo,ART0005136,C00297,1,950.0
1969,47349,Consuntivo,ART0000804,C00140,1,480.0
1970,47350,Consuntivo,ART0000758,C00140,3,880.8
1971,47351,Consuntivo,ART0000786,C00140,2,711.2
1972,47352,Consuntivo,ART0000847,C00140,1,270.0
1973,47353,Consuntivo,ART0001575,C00140,20,80.0
1974,47354,Consuntivo,ART0002360,C00140,2,490.0
1975,47364,Consuntivo,ART0002107,C00140,3,30.0
1976,47366,Consuntivo,ART0001653,C00140,3,54.0
1977,47367,Consuntivo,ART0001653,C00140,6,108.0
1978,47373,Consuntivo,ART0001575,C00140,20,80.0
1979,47378,Consuntivo,ART0001575,C00140,20,80.0
1980,47379,Consuntivo,ART0002148,C00140,3,118.68
1981,47386,Consuntivo,ART0001149,C00140,2,38.64
1982,47387,Consuntivo,ART0002476,C00140,2,25.76
1983,47393,Consuntivo,ART0001743,C00140,2,1711.2
1984,47399,Consuntivo,ART0002712,C00140,15,1125.0
1985,47400,Consuntivo,ART0002712,C00140,3,225.0
1986,47419,Consuntivo,ART0001202,C00140,1,440.0
1987,47420,Consuntivo,ART0001203,C00140,1,270.0
1988,47423,Consuntivo,ART0001433,C00140,4,20.0
1989,47432,Consuntivo,ART0002508,C00140,1,85.0
1990,47435,Consuntivo,ART0002451,C00140,2,0.0
1991,47436,Consuntivo,ART0002451,C00140,2,0.0
1992,47441,Consuntivo,ART0002451,C00140,2,542.8
1993,47504,Consuntivo,ART0000627,C00004,2,76.0
1994,47505,Consuntivo,ART0000628,C00004,1,190.0
1995,47506,Consuntivo,ART0000630,C00004,2,110.0
1996,47507,Consuntivo,ART0000638,C00004,10,230.0
1997,47542,Consuntivo,ART0004675,C00473,5,65.0
1998,47560,Consuntivo,ART0000116,C00026,3,270.0
1999,47606,Consuntivo,ART0000853,C00140,10,3220.0
2000,47608,Consuntivo,ART0000752,C00140,3,1368.0
2001,47609,Consuntivo,ART0000752,C00140,3,1368.0
2002,47610,Consuntivo,ART0000752,C00140,6,2736.0
2003,47611,Consuntivo,ART0002464,C00140,1,160.0
2004,47612,Consuntivo,ART0002416,C00140,20,240.0
2005,47617,Consuntivo,ART0003132,C00140,2,38.0
2006,47618,Consuntivo,ART0003844,C00140,1,32.0
2007,47621,Consuntivo,ART0001252,C00140,2,470.0
2008,47626,Consuntivo,ART0003132,C00140,4,76.0
2009,47737,Consuntivo,ART0001154,C00140,12,132.0
2010,47738,Consuntivo,ART0001741,C00140,1,180.0
2011,47739,Consuntivo,ART0002793,C00140,20,760.0
2012,47744,Consuntivo,ART0002628,C00140,1,70.0
2013,47745,Consuntivo,ART0002755,C00140,1,205.0
2014,47762,Consuntivo,ART0001253,C00140,1,85.0
2015,47763,Consuntivo,ART0001741,C00140,2,360.0
2016,47784,Consuntivo,ART0005136,C00493,5,200.0
2017,47810,Consuntivo,ART0000625,C00004,1,130.0
2018,47812,Consuntivo,ART0000639,C00004,10,300.0
2019,47837,Consuntivo,ART0000639,C00004,1,30.0
2020,47935,Consuntivo,ART0000830,C00140,1,1280.0
2021,47940,Consuntivo,ART0002740,C00140,20,500.0
2022,47945,Consuntivo,ART0001252,C00140,1,235.0
2023,47947,Consuntivo,ART0002551,C00140,2,820.0
2024,47952,Consuntivo,ART0002214,C00140,1,95.0
2025,47966,Consuntivo,ART0001497,C00140,1,22.0
2026,47969,Consuntivo,ART0003844,C00140,2,64.0
2027,47971,Consuntivo,ART0001497,C00140,2,44.0
2028,47972,Consuntivo,ART0002829,C00140,6,180.0
2029,47973,Consuntivo,ART0003309,C00140,6,60.0
2030,47974,Consuntivo,ART0003310,C00140,7,56.0
2031,48033,Consuntivo,ART0005136,C00004,1,16.0
2032,48034,Consuntivo,ART0005136,C00004,33,264.0
2033,48098,Consuntivo,ART0004889,C00471,3,450.0
2034,48099,Consuntivo,ART0004889,C00471,1,150.0
2035,48100,Consuntivo,ART0004889,C00471,3,450.0
2036,48101,Consuntivo,ART0004889,C00471,1,150.0
2037,48102,Consuntivo,ART0004889,C00471,4,600.0
2038,48103,Consuntivo,ART0004889,C00471,3,450.0
2039,48104,Consuntivo,ART0004889,C00471,2,300.0
2040,48105,Consuntivo,ART0004889,C00471,2,300.0
2041,48106,Consuntivo,ART0004889,C00471,4,600.0
2042,48107,Consuntivo,ART0004889,C00471,3,450.0
2043,48108,Consuntivo,ART0004889,C00471,2,300.0
2044,48109,Consuntivo,ART0004889,C00471,2,300.0
2045,48110,Consuntivo,ART0004889,C00471,4,600.0
2046,48111,Consuntivo,ART0004889,C00471,3,450.0
2047,48112,Consuntivo,ART0004889,C00471,2,300.0
2048,48113,Consuntivo,ART0004889,C00471,2,300.0
2049,48119,Consuntivo,ART0003189,C00140,3,60.0
2050,48122,Consuntivo,ART0002370,C00140,1,69.92
2051,48123,Consuntivo,ART0002370,C00140,2,139.84
2052,48124,Consuntivo,ART0001739,C00140,2,170.0
2053,48125,Consuntivo,ART0002918,C00140,2,250.0
2054,48126,Consuntivo,ART0002919,C00140,2,250.0
2055,48127,Consuntivo,ART0001739,C00140,1,85.0
2056,48128,Consuntivo,ART0002918,C00140,1,125.0
2057,48129,Consuntivo,ART0002919,C00140,1,125.0
2058,48301,Consuntivo,ART0000783,C00140,2,581.44
2059,48332,Consuntivo,ART0000697,C00004,1,70.0
2060,48341,Consuntivo,ART0005136,C00015,11,22.0
2061,48371,Consuntivo,ART0001277,C00140,1,0.0
2062,48375,Consuntivo,ART0002271,C00140,2,0.0
2063,48376,Consuntivo,ART0002271,C00140,1,0.0
2064,48377,Consuntivo,ART0002271,C00140,1,0.0
2065,48378,Consuntivo,ART0002271,C00140,1,0.0
2066,48388,Consuntivo,ART0003268,C00140,1,0.0
2067,48397,Consuntivo,ART0003268,C00140,1,0.0
2068,48409,Consuntivo,ART0002271,C00140,2,0.0
2069,48414,Consuntivo,ART0003268,C00140,1,0.0
2070,48421,Consuntivo,ART0003268,C00140,1,0.0
2071,48429,Consuntivo,ART0002271,C00140,1,0.0
2072,48432,Consuntivo,ART0001277,C00140,1,0.0
2073,48433,Consuntivo,ART0001277,C00140,1,25.0
2074,48436,Consuntivo,ART0002271,C00140,2,320.0
2075,48437,Consuntivo,ART0002271,C00140,1,160.0
2076,48447,Consuntivo,ART0003268,C00140,1,5.06
2077,48451,Consuntivo,ART0005136,C00015,40,15.38
