,CodiceMP,sumCostoMPBudget,sumCostoMPConsuntivo,scostamento
380,ART0001772,795.01,1018.19,-223.18000000000006
381,ART0001939,263.79,487.72,-223.93
382,ART0005805,74.0,304.0,-230.0
383,ART0001935,361.12,596.16,-235.03999999999996
384,ART0001924,479.7,715.6600000000001,-235.9600000000001
385,ART0005328,107.46000000000001,349.94000000000005,-242.48000000000005
386,ART0002503,22.54,266.0,-243.46
387,ART0005394,58.35,307.64,-249.29
388,ART0001758,329.55,583.45,-253.90000000000003
389,ART0005511,148.8,405.6,-256.8
390,ART0005673,73.4,337.64,-264.24
391,ART0001779,273.5,552.72,-279.22
392,ART0005354,245.31,533.19,-287.88000000000005
393,ART0005411,144.53,436.14,-291.61
394,ART0005478,195.0,495.0,-300.0
395,ART0005871,158.66,466.45000000000005,-307.7900000000001
396,ART0001878,191.0,502.76,-311.76
397,ART0005222,478.0,797.6300000000001,-319.6300000000001
398,ART0005429,189.0,525.0,-336.0
399,ART0001776,116.78,465.07,-348.28999999999996
400,ART0001085,210.4,560.98,-350.58000000000004
401,ART0005332,485.85,837.4,-351.54999999999995
402,ART0005680,59.23,419.13,-359.9
403,ART0005214,167.2,543.02,-375.82
404,ART0005189,32.38,439.78,-407.4
405,ART0005433,204.0,612.11,-408.11
406,ART0005479,117.0,526.5,-409.5
407,ART0001869,228.64,641.04,-412.4
408,ART0003832,980.0800000000002,1417.0799999999995,-436.9999999999993
409,ART0005589,15.66,458.61,-442.95
410,ART0003831,438.15,882.7399999999999,-444.5899999999999
411,ART0005447,195.0,645.0,-450.0
412,ART0005635,326.66,783.5799999999996,-456.91999999999956
413,ART0005891,40.31,537.48,-497.17
414,ART0003940,1123.12,1644.2499999999998,-521.1299999999999
415,ART0003839,820.0,1351.0,-531.0
416,ART0005171,234.13,804.81,-570.68
417,ART0005323,860.0,1435.8,-575.8
418,ART0005436,97.43000000000002,674.74,-577.31
419,ART0001920,1093.9299999999998,1690.9700000000003,-597.0400000000004
420,ART0005249,115.28999999999998,731.93,-616.64
421,ART0005934,25.83,649.49,-623.66
422,ART0005161,558.74,1189.3200000000004,-630.5800000000004
423,ART0001773,204.22,836.95,-632.73
424,ART0002490,360.98999999999995,1015.21,-654.22
425,ART0001788,1335.0,2026.27,-691.27
426,ART0005714,951.9900000000001,1671.7,-719.7099999999999
427,ART0001076,158.7,890.5100000000001,-731.8100000000002
428,ART0005560,383.65999999999997,1124.6799999999998,-741.0199999999999
429,ART0001898,4230.599999999999,5035.42,-804.8200000000006
430,ART0001777,79.34,886.2300000000001,-806.8900000000001
431,ART0002504,785.3100000000001,1624.76,-839.4499999999999
432,ART0005951,148.05,1004.0399999999998,-855.9899999999998
433,ART0003838,42.9,912.2100000000003,-869.3100000000003
434,ART0001889,270.9,1145.36,-874.4599999999999
435,ART0001873,1521.51,2444.22,-922.7099999999998
436,ART0005334,774.6899999999999,1702.73,-928.0400000000001
437,ART0005867,40.0,973.4000000000001,-933.4000000000001
438,ART0001908,1073.15,2009.92,-936.77
439,ART0001514,292.17,1236.9699999999998,-944.7999999999997
440,ART0001885,299.34,1367.25,-1067.91
441,ART0001840,339.64,1438.6499999999999,-1099.0099999999998
442,ART0005641,1039.38,2151.3,-1111.92
443,ART0001891,794.01,1919.19,-1125.18
444,ART0001786,1073.0,2220.6099999999997,-1147.6099999999997
445,ART0001783,1170.4199999999998,2321.1699999999996,-1150.7499999999998
446,ART0005227,1679.8899999999996,2913.41,-1233.5200000000002
447,ART0001886,6100.26,7417.25,-1316.9899999999998
448,ART0005242,640.3499999999999,1978.2900000000009,-1337.940000000001
449,ART0005432,714.0,2153.5600000000004,-1439.5600000000004
450,ART0001882,211.74,1720.55,-1508.81
451,ART0001759,3649.7699999999995,5392.52,-1742.750000000001
452,ART0005460,1915.99,3725.0,-1809.01
453,ART0005434,797.72,2622.0499999999997,-1824.3299999999997
454,ART0001895,2060.7799999999997,3950.1000000000004,-1889.3200000000006
455,ART0001775,3490.88,5400.12,-1909.2399999999998
456,ART0001950,659.43,2571.97,-1912.54
457,ART0001830,588.6700000000001,2536.26,-1947.5900000000001
458,ART0005640,1428.0,3578.4,-2150.4
459,ART0001921,3304.07,5739.039999999999,-2434.969999999999
460,ART0005642,2471.47,5261.049999999999,-2789.5799999999995
461,ART0001799,1386.68,4279.6,-2892.92
462,ART0001807,4291.280000000001,7486.53,-3195.249999999999
463,ART0001811,2996.9599999999996,6360.7300000000005,-3363.770000000001
464,ART0001866,16366.560000000001,19771.89,-3405.329999999998
465,ART0001917,6428.24,10157.33,-3729.09
466,ART0001940,2352.81,6347.85,-3995.0400000000004
467,ART0001770,240.59,5261.4400000000005,-5020.85
468,ART0001756,4362.04,10546.199999999999,-6184.159999999999
469,ART0001883,400.37,8330.780000000002,-7930.410000000003
470,ART0001868,5247.369999999999,14069.080000000002,-8821.710000000003
